departement,ville,coordonnesgroup
Eure,Authevernes,Point(1.639444444 49.218333333)
Eure,Bourg-Beaudouin,Point(1.306944444 49.386388888)
canton d'Aubenton,Besmont,Point(4.121944444 49.837777777)
arrondissement de Commercy,Badonvilliers-Gérauvilliers,Point(5.585833333 48.55)
arrondissement de Sarlat-la-Canéda,Bouzic,Point(1.219444444 44.726388888)
arrondissement de Provins,Barbey,Point(3.054722222 48.365833333)
arrondissement de Fougères-Vitré,Argentré,Point(-1.153888888 48.057222222)
canton de Béziers-4,Béziers,Point(3.216111111 43.343333333)
canton de Sarreguemines-Campagne,Bliesbruck,Point(7.180555555 49.115555555)
Seine-et-Marne,Bagneaux-sur-Loing,Point(2.705 48.231388888)
arrondissement de Vannes,Arzal,Point(-2.376111111 47.516666666)
arrondissement de Saint-Claude,Avignon,Point(5.846388888 46.390555555)
arrondissement de Mont-de-Marsan,Aureilhan,Point(-1.204722222 44.219722222)
arrondissement de Vannes,Ambon,Point(-2.556388888 47.553888888)
arrondissement de Vannes,Beignon,Point(-2.171111111 47.970833333)
arrondissement de Vannes,Billiers,Point(-2.489444444 47.531666666)
arrondissement de Vannes,Campénéac,Point(-2.294722222 47.957777777)
arrondissement d'Ussel,Aix,Point(2.3825 45.616111111)
Seine-et-Marne,Boissy-le-Châtel,Point(3.136388888 48.822222222)
arrondissement de Sélestat-Erstein,Benfeld,Point(7.592222222 48.370555555)
arrondissement de Montbrison,Bellegarde-en-Forez,Point(4.298333333 45.647222222)
canton de Saint-Gervais-les-Trois-Clochers,Antran,Point(0.543333333 46.8525)
canton de Riscle,Barcelonne,Point(-0.235833333 43.703333333)
Corse-du-Sud,Bonifacio,Point(9.160555555 41.388055555)
Charente,Angeac-Charente,Point(-0.075 45.630555555)
canton d'Aillant-sur-Tholon,Aillant,Point(3.350833333 47.874722222)
arrondissement de Dieppe,Avesnes,Point(1.6725 49.468888888)
Alpes-Maritimes,Beaulieu-sur-Mer,Point(7.331388888 43.706944444)
canton de Luz-Saint-Sauveur,Betpouey,Point(0.033055555 42.881388888)
arrondissement d'Avesnes-sur-Helpe,Bellignies,Point(3.769166666 50.328611111)
arrondissement d'Avesnes-sur-Helpe,Bérelles,Point(4.097777777 50.215833333)
arrondissement de Commercy,Bouconville-sur-Madt,Point(5.718055555 48.8425)
