leonoreid,person,bnfid
LH/2543/41,http://www.wikidata.org/entity/Q2256568,13003379d
LH/1395/38,http://www.wikidata.org/entity/Q2354545,16666259x
LH/2427/27,http://www.wikidata.org/entity/Q2369193,12193223d
LH/2222/71,http://www.wikidata.org/entity/Q2370847,12111907z
19800035/971/12600,http://www.wikidata.org/entity/Q2371022,137573699
LH/1039/57,http://www.wikidata.org/entity/Q2376715,131640855
LH/1589/42,http://www.wikidata.org/entity/Q2390369,12562007f
LH/425/26,http://www.wikidata.org/entity/Q2391782,104648964
LH/494/69,http://www.wikidata.org/entity/Q2399072,14971519r
LH/1664/56,http://www.wikidata.org/entity/Q2402078,14473572t
LH/1664/56,http://www.wikidata.org/entity/Q2402078,149190041
LH/2249/6,http://www.wikidata.org/entity/Q2408040,12953354h
LH/2098/65,http://www.wikidata.org/entity/Q2411208,125374550
19800035/1173/35854,http://www.wikidata.org/entity/Q2415564,120132316
19800035/450/60277,http://www.wikidata.org/entity/Q2447477,124225321
19800035/450/60277,http://www.wikidata.org/entity/Q2447477,153006648
LH/184/54,http://www.wikidata.org/entity/Q2484224,11891327n
LH/2387/5,http://www.wikidata.org/entity/Q2494198,14928904g
LH/1736/25,http://www.wikidata.org/entity/Q2498445,120014552
LH/1729/66,http://www.wikidata.org/entity/Q2499629,17036085d
LH/193/56,http://www.wikidata.org/entity/Q2517865,10734104m
LH/1054/17,http://www.wikidata.org/entity/Q2605963,161788493
19800035/1322/53089,http://www.wikidata.org/entity/Q2613190,12463230k
19800035/132/16655,http://www.wikidata.org/entity/Q2615553,113338591
LH/1468/91,http://www.wikidata.org/entity/Q2629223,12746934q
LH/1027/80,http://www.wikidata.org/entity/Q2645889,170420442
19800035/332/44671,http://www.wikidata.org/entity/Q19945064,121604886
LH/2751/91,http://www.wikidata.org/entity/Q19945316,12990564g
19800035/389/52136,http://www.wikidata.org/entity/Q19945386,130041700
19800035/447/59782,http://www.wikidata.org/entity/Q19953510,12556459j
LH/1143/52,http://www.wikidata.org/entity/Q19959585,124629726
LH/1224/56,http://www.wikidata.org/entity/Q19968568,149752819
LH/1222/74,http://www.wikidata.org/entity/Q20204129,10731617m
LH/1061/31,http://www.wikidata.org/entity/Q20204985,149743862
19800035/1352/56689,http://www.wikidata.org/entity/Q20241018,11327282n
LH/1298/14,http://www.wikidata.org/entity/Q20655757,14616004s
