nom,leonoreid,diplomes,professions
Antoine Béchamp,LH/159/66,,biologiste | chimiste | médecin
Marie Émile Fayolle,LH/950/27,,officier | militaire
François Achille Bazaine,LH/150/12,,officier | personnalité politique | militaire
François-Achille Bazaine,LH/150/12,,officier | personnalité politique | militaire
Martin Bossange,LH/301/13,,imprimeur-libraire | éditeur
Eugène Janvier de La Motte,LH/1353/98,,personnalité politique
François-Jean-Baptiste de Quesnel,LH/2247/48,,militaire
François-Jean-Baptiste de Quesnel,LH/2247/51,,militaire
William Marçais,19800035/1319/52647,,arabisant | professeur
Élie Frédéric Forey,LH/998/41,,officier | personnalité politique | militaire
Jacques-Louis David,LH/673/3,,peintre | personnalité politique
Bartók Béla,LH/128/77,,professeur de musique | ethnomusicologue | musicologue | chorégraphe | entomologiste | professeur d'université | pédagogue | pianiste | musicien | enseignant | compositeur
Eugène François Charles Lamoral de Ligne,LH/1640/71,,diplomate | personnalité politique
François-Joseph Lefebvre,LH/1546/20,,personnalité politique | militaire
Daniel Blumenthal,19800035/271/36272,,personnalité politique
Daniel Blumenthal,19800035/271/36272,,personnalité politique
Joseph Merklin,LH/1837/46,,facteur d'orgues
Bernhard Erasmus von Deroy,LH/739/73,,militaire
Emile Wetterlé,19800035/281/37697,,journaliste | prêtre catholique | personnalité politique
Émile Wetterlé,19800035/281/37697,,journaliste | prêtre catholique | personnalité politique
Jean Lobstein,LH/1648/38,,anatomiste | pathologiste | professeur d'université | chirurgien
Johann Georg von Soldner,LH/2532/12,,physicien | mathématicien | astronome
Charles Émile Kopp,LH/1406/76,,professeur d'université | chimiste | personnalité politique
Emile Kopp,LH/1406/76,,professeur d'université | chimiste | personnalité politique
Nicolaus Delsor,19800035/141/17922,,prêtre catholique | personnalité politique
Nicolas Delsor,19800035/141/17922,,prêtre catholique | personnalité politique
Gaetano Donizetti,LH/789/11,,compositeur
Henri Moissan,LH/1896/6,,pharmacologue | professeur d'université | chimiste | pharmacien
Urbain Le Verrier,LH/1626/79,,météorologue | mathématicien | personnalité politique | astronome
Paul Sabatier,19800035/169/21742,,professeur d'université | chimiste
Gabriel Urbain Fauré,LH/940/44,,musicologue | professeur de musique | professeur d'université | organiste | pianiste | maître de chapelle | enseignant | compositeur
Giacomo Meyerbeer,LH/1856/41,,autobiographe | directeur musical | musicien | chef d'orchestre | compositeur
Paul Dupont des Loges,LH/857/26,,prêtre catholique | personnalité politique
Paul Dupont des Loges,LH/857/26,,prêtre catholique | personnalité politique
Maurice Chevalier,19800035/1137/30240,,danseur | acteur de cinéma | acteur de théâtre | parolier | musicien | chanteur | acteur
Maurice Utrillo,LH/2657/7,,graveur | peintre
Dominique Antoine,LH/42/32,,vétérinaire | personnalité politique
Jules-Dominique Antoine,LH/42/32,,vétérinaire | personnalité politique
Édouard Joseph Dantan,LH/657/2,,peintre | illustrateur | graveur
Georges Weill,19800035/1036/19555,,journaliste | personnalité politique
Georges Weill,19800035/1036/19555,,journaliste | personnalité politique
Hermann Oestrich,19800035/1180/36561,,ingénieur en aérospatiale | ingénieur
Godefroy Brossay-Saint-Marc,LH/372/102,,prêtre catholique
Armand Jacques Leroy de Saint-Arnaud,LH/1610/38,,officier | personnalité politique | militaire
Jean Baptiste Philibert Vaillant,LH/2661/33,,officier | personnalité politique
Adolphe Niel,LH/1990/49,,ingénieur militaire | personnalité politique | militaire
Edmond Le Bœuf,LH/1517/17,,personnalité politique | militaire
Jean-Xavier Lefèvre,LH/1549/67,,musicologue | professeur de musique | clarinettiste | compositeur
Achille Baraguey d'Hilliers,LH/103/37,,diplomate | officier | personnalité politique | militaire
Pierre Riel de Beurnonville,LH/2327/66,,diplomate | personnalité politique | militaire
Victor Cherbuliez,LH/518/9,,romancier | journaliste | dramaturge | écrivain
Rémy Joseph Isidore Exelmans,C/0/45,,officier | personnalité politique
Joseph-Frédéric-Benoît Charrière,LH/496/58,,fabricant d'instruments | entrepreneur | ingénieur
Antoine Bovy,LH/345/25,,médailleur | sculpteur
Bernard Pierre Magnan,LH/1685/37,,officier | personnalité politique
Charles Petter,19800035/37/4661,,ingénieur
René Carmille,19800035/61/7437,,résistant | militaire
Médard Brogly,19800035/802/90851,,personnalité politique
Heinrich Wilhelm von Werther,LH/2754/30,,diplomate | personnalité politique
Joseph Boussinesq,LH/337/32,,professeur des écoles | ingénieur hydraulicien | professeur d'université | physicien | mathématicien
Édouard Werlé,LH/2754/15,,personnalité politique | personnalité du monde des affaires
Georges Charpy,19800035/451/60340,,universitaire | chimiste | ingénieur
Édouard-Henri Avril,LH/82/7,,peintre | illustrateur | graveur
Jérôme Carcopino,19800035/1024/18185,,érudit classique | haut fonctionnaire | historien
Jérôme Carcopino,LH/425/60,,érudit classique | haut fonctionnaire | historien
Jean Louis Rodolphe Agassiz,LH/9/83,,biologiste
Charles Édouard Guillaume,LH/1233/67,,physicien
Blaise Cendrars,19800035/354/47636,,légionnaire | designer | librettiste | romancier | écrivain voyageur | journaliste | correspondant de guerre | poète | écrivain
Arthur Honegger,19800035/166/21397,,professeur de musique | compositeur de musique classique | musicologue | compositeur de musique de film | compositeur
Guillaume Henri Dufour,LH/833/60,,ingénieur civil | cartographe | urbaniste | personnalité politique | militaire
Jean-Gabriel Eynard,LH/917/41,,banquier | diplomate | photographe
Abraham Breguet,LH/355/95,,inventeur | horloger | physicien | ingénieur | personnalité du monde des affaires
Alexandre Émile Jean Yersin,19800035/576/65483,,bactériologiste | explorateur | agronome | biologiste | médecin
Victor Morax,19800035/99/12462,,ophtalmologue
Charles Jacque,LH/1340/46,,peintre animalier | graveur | aquafortiste | artiste graphique | peintre | illustrateur | photographe
Sylvain Eugène Raynal,LH/2274/39,,militaire
Adrien Prévost de Longpérier,LH/2225/41,,assyriologue | numismate | archéologue | conservateur
Auguste Longnon,LH/1656/36,,romaniste | archiviste | historien | professeur
René Bazin,LH/151/54,,romancier | journaliste | professeur d'université | juriste-poète | écrivain
Louis Rousselet,LH/2392/42,,géographe | photographe
Auguste Regnaud de Saint-Jean d'Angély,LH/2284/50,,personnalité politique | militaire
Gabriel Jean Joseph Molitor,LH/1899/55,,officier | personnalité politique | militaire
Aimable Pélissier,C/0/47,,officier | diplomate | personnalité politique | militaire
Pierre Joseph François Bosquet,LH/300/80,,officier | personnalité politique | militaire
Philippe Antoine d'Ornano,C/0/46,,officier | personnalité politique | militaire
Jean Isidore Harispe,LH/1268/16,,officier | personnalité politique
Fernandel,19800035/1096/25811,,acteur de cinéma | acteur de théâtre | acteur de télévision | directeur | réalisateur | humoriste | chanteur
Roger Martin du Gard,19800035/424/56686,,archiviste | dramaturge | écrivain
Louis-Auguste Jouvenel des Ursins d'Harville,LH/770/6,,militaire | personnalité politique
Jules Richard,LH/2322/23,,industriel | inventeur | entrepreneur | personnalité du monde des affaires | photographe
François Lafon,LH/1435/59,,peintre
François d'Astier de La Vigerie,19800035/198/25889,,aviateur | diplomate | militaire
Louis Auguste Marchand de Plauzonne,LH/2178/59,,officier
Louis Daguerre,LH/646/53,,artiste graphique | peintre | chimiste | inventeur | photographe
Gabriel Bertrand,19800035/436/58318,,biochimiste | chimiste | pharmacien
Jules Harmand,LH/1268/60,,explorateur | diplomate | médecin
Gabriel Lippmann,LH/1645/23,,inventeur | physicien | professeur | photographe
Valery Larbaud,19800035/172/22143,,essayiste | prosateur | diariste | critique littéraire | traducteur | poète | écrivain
Hector Fabre,LH/2784/29,,journaliste | diplomate | personnalité politique | avocat | écrivain
Adolphe d'Ennery,LH/2141/57,,librettiste | romancier | dramaturge | compositeur | écrivain
Abel Niépce de Saint-Victor,LH/1991/2,,chimiste | physicien | photographe
François-Étienne Kellermann,LH/1396/35,,officier | militaire | personnalité politique
Henri Ey,19800035/1423/64586,,psychanalyste | philosophe | psychologue | psychiatre | médecin
Paul Georges Dieulafoy,LH/776/39,,pathologiste | professeur d'université | chirurgien | médecin
Zadoc Kahn,LH/1393/55,,rabbin
Alexis de Tocqueville,LH/2611/56,,philosophe | sociologue | juriste | personnalité politique | écrivain
Jean-Baptiste Camille Corot,LH/594/20,,dessinateur | graveur | peintre | photographe
Frédéric Joliot-Curie,19800035/290/38935,,physicien nucléaire | professeur d'université | chimiste | physicien | professeur | personnalité politique
Joachim Murat,LH/1967/64,,officier | militaire | personnalité politique
Prosper Montagné,19800035/755/85630,,chef cuisinier | journaliste
Georges Méliès,LH/1819/20,,magicien | dessinateur | acteur de cinéma | monteur | producteur de cinéma | réalisateur | cinéaste | animateur | directeur de la photographie | acteur | scénariste
Marc-Antoine Berdolet,LH/185/49,,prêtre catholique
Ferdinand Dutert,LH/879/60,,architecte
Antoine Dareste de La Chavanne,LH/660/59,,historien
Aristide Maillol,19800035/307/41337,,lithographe | graveur | aquafortiste | sculpteur | peintre
Odilon Redon,LH/2282/58,,pastelliste | lithographe | graveur | aquafortiste | sculpteur | artiste graphique | peintre | illustrateur
François Arago,LH/44/56,,professeur d'université | biographe | mathématicien | physicien | personnalité politique | scientifique | astronome
Félix Edouard Justin Émile Borel,19800035/168/21667,,résistant | professeur d'université | mathématicien | personnalité politique
Julien Benda,19800035/1486/72814,,philosophe | critique | écrivain
Léon Jouhaux,19800035/109/13754,,syndicaliste
Georges Rouault,19800035/187/24276,,artiste graphique | conservateur | peintre | illustrateur
Max Jacob,19800035/307/41401,,pastelliste | aquarelliste | lithographe | dessinateur | prosateur | essayiste | critique littéraire | critique d'art | peintre | traducteur | artiste | illustrateur | poète | écrivain
Nicolas Oudinot,C/0/43,,personnalité politique | militaire
Nicolas-Charles Oudinot,C/0/43,,personnalité politique | militaire
Marc Bloch,19800035/163/20935,,résistant | médiéviste | professeur d'université | lecteur | historien | professeur
François Darlan,LH/661/66,,personnalité politique | militaire
Lucien Febvre,19800035/218/28709,,historien | professeur
Ernest Renan,LH/2294/44,,philologue | philosophe | critique littéraire | archéologue | théologien | orientaliste | historien | professeur | écrivain
Ernest Renan,LH/2294/48,,philologue | philosophe | critique littéraire | archéologue | théologien | orientaliste | historien | professeur | écrivain
