nom,leonoreid,diplomes,professions
Nicolas-Prosper Gellibert des Seguins,LH/1107/14,,officier | personnalité politique
Hippolyte Godard-Desmarest,LH/1158/61,,personnalité politique
Justin Haudos,LH/1271/32,,personnalité politique
Jacques Louis Jourdain,LH/1381/1,,personnalité politique
Jean-Baptiste Josseau,LH/1375/38,,personnalité politique | avocat | écrivain
Amédée Guesclin de Beynaguet de Pennautier,LH/149/46,,personnalité politique
Augustin Guyard-Delalain,LH/2786/136,,personnalité politique | avocat
Prosper de Lagrange,LH/1442/62,,personnalité politique
Charles François Laffite,LH/1433/14,,personnalité politique
Jean-Pierre Joliot,LH/1370/12,,personnalité politique
François de Lespérut,LH/1615/69,,personnalité politique
Hippolyte Chauchard,LH/504/59,,personnalité politique
Stanislas Lédier,LH/1542/10,,personnalité politique
Alphonse Leret d'Aubigny,LH/1603/7,,personnalité politique
Félix Le Sergeant de Monnecove,LH/1614/15,,personnalité politique
Adrien Mathieu,LH/1788/34,,personnalité politique
Auguste Mathieu,LH/1788/53,,personnalité politique
Pierre Normand,LH/2003/14,,personnalité politique
Emmanuel Jean Pontgérard,LH/2196/66,,personnalité politique
Henri Nogent-Saint-Laurens,LH/1998/47,,personnalité politique | avocat
Stéphane de Pierres,LH/2154/69,,personnalité politique
Oscar Planat,LH/2175/61,,personnalité politique
Édouard de Morgan,LH/1936/41,,personnalité politique
François Montigny de Jaucourt,LH/1357/17,,personnalité politique
Alexandre Pinard,LH/2164/13,,personnalité politique
Vincent Piccioni,LH/2146/41,,personnalité politique
Hippolyte Perras,LH/2105/8,,personnalité politique
Jean Patras de Campaigno,LH/2067/13,,personnalité politique
Théodore Morin,LH/1938/20,,avoué | personnalité politique
Antoine Partouneaux,LH/2058/49,,personnalité politique
Louis Parmentier,LH/2056/19,,personnalité politique
Eugène Peyrusse,LH/2136/45,,personnalité politique
Édouard Sens,LH/2502/1,,personnalité politique
Adrien Joseph Prax-Paris,LH/2221/24,,personnalité politique
Antoine Richard de Montjoyeux,LH/2323/37,,personnalité politique
Roger-Adrien de Riencourt,LH/2327/71,,personnalité politique
Henri Armand Rolle,LH/2373/55,,personnalité politique
Henri Quesné,LH/2247/38,,personnalité politique
Prosper Joseph Sibuet,LH/2513/65,,personnalité politique
Arnaud Rogé,LH/2366/9,,personnalité politique
Joseph Sénéca,LH/2500/33,,personnalité politique
Fortuné Renouard,LH/2301/20,,personnalité politique
Francisque Rudel du Miral,LH/2423/21,,personnalité politique
Étienne Sapey,LH/2457/20,,personnalité politique
Charles Henri Roulleaux Dugage,LH/2398/23,,personnalité politique
Charles Tron,LH/2632/62,,personnalité politique | avocat
Théodore Michel Vernier,LH/2693/45,,personnalité politique
Antonin Vilcocq,LH/2715/67,,personnalité politique
Auguste Stiévenart-Béthune,LH/2550/48,,personnalité politique
Samuel Welles de Lavalette,LH/2753/27,,personnalité politique
Germain Thibaut,LH/2588/69,,personnalité politique
Joannès Terme,LH/2576/23,,personnalité politique | avocat
Napoléon Lepic,LH/1596/48,,officier | personnalité politique
François-Luglien-Louis de Fourment,LH/1013/7,,personnalité politique
Antoine Fouquier d'Hérouel,LH/1010/66,,personnalité politique
Bernard Lacaze,LH/1422/35,,personnalité politique
Charles Martin des Pallières,LH/1767/18,,personnalité politique
Xavier Mougin,LH/1948/64,,personnalité politique
Jean-Joseph Labbé,LH/1414/31,,maître de forges | personnalité politique
François Marie Guillo du Bodan,LH/1240/69,,personnalité politique
Pierre Jean Honorat Lainé,LH/1446/34,,officier de la Marine française | personnalité politique
Pierre Mazuez,19800035/957/11186,,résistant | personnalité politique | médecin
Daniel Boisdon,19800035/303/40815,,résistant | personnalité politique
Étienne de Raulin,19800035/228/30248,,personnalité politique | ingénieur
Jean-Marie-Philippe Sauzey,LH/2470/61,,personnalité politique
Eugène Graëve,19800035/151/19282,,personnalité politique
Denis Morel-Cornet,LH/1935/5,,personnalité politique
Louis Porion,LH/2201/47,,personnalité politique
Aimé Henri Faton de Favernay,LH/935/16,,personnalité politique
Eugène Jolibois,LH/1369/66,,magistrat | personnalité politique
Charles Boutet,19800035/757/85935,,personnalité politique
Édouard Aubertin,LH/65/67,,personnalité politique
Henri Dunaime,LH/849/34,,personnalité politique
Paul Michaut,LH/1862/20,,personnalité politique
Charles Munier,LH/1966/63,,personnalité politique
Louis Mennesson,19800035/205/26806,,personnalité politique
Louis Ringuier,19800035/1320/52844,,personnalité politique
Frédéric Manaut,19800035/92/11507,,personnalité politique
Mohamed Ould El Mir Agha Mir,19800035/1013/17031,,personnalité politique | militaire
Louis Adriani,19800035/315/42479,,personnalité politique
François Féraud,LH/955/48,,personnalité politique
Francisque Allombert,LH/24/49,,personnalité politique
Jules Albert Cabrol,LH/400/92,,personnalité politique
Charles Caussanel,LH/452/69,,personnalité politique
Gilles Chateau,19800035/412/55152,,personnalité politique
Paul Chautard,LH/508/64,,personnalité politique | médecin
Jacques Chaumié,LH/507/10,,personnalité politique
Alexis Chavanne,LH/512/48,,personnalité politique
Louis Chazette,LH/514/13,,personnalité politique
Gabriel Chevalier,19800035/119/15004,,personnalité politique
Claude Chialvo,19800035/254/33874,,personnalité politique
Fernand Joseph Chrestien de Treveneuc,LH/536/37,,personnalité politique
Georges Claudinon,19800035/254/33878,,personnalité politique
Albert Colin,19800035/1309/51428,,personnalité politique
Albert Congy,19800035/160/20467,,personnalité politique
Adrien Constans,LH/582/2,,personnalité politique
Henry Corsin,19800035/64/7923,,personnalité politique
Aimé de Cossé-Brissac,LH/597/34,,personnalité politique
Claude Couillerot,19800035/744/84482,,personnalité politique
Henry Cravoisier,19800035/101/12658,,éleveur de chevaux | cavalier | personnalité politique | personnalité du monde des affaires
Ernest Crépel,19800035/244/32528,,personnalité politique
Philippe Cuissart,LH/639/37,,personnalité politique
Isidore David,LH/672/93,,personnalité politique
François Debève,LH/678/34,,agriculteur | personnalité politique
Jean Debève,19800035/1314/51970,,personnalité politique | médecin
Anatole Debiève,LH/678/54,,personnalité politique
Ernest Décloux,LH/683/57,,personnalité politique
Étienne Dejean,LH/693/4,,historien | personnalité politique
Jules Delelis,LH/709/43,,personnalité politique
Arthur Delmas,19800035/141/17913,,personnalité politique
Joseph Delom-Sorbé,LH/716/70,,personnalité politique
Albert Denis,19800035/727/82659,,personnalité politique
Louis Delport,19800035/739/83944,,personnalité politique
Gabriel Denis,LH/731/42,,personnalité politique
Paul Denise,19800035/459/61451,,personnalité politique
Pierre Derangère,LH/737/40,,personnalité politique
Amédée Descubes-Desgueraines,19800035/252/33612,,personnalité politique
Albert Descamps,LH/743/48,,personnalité politique
Louis Deshayes,LH/749/29,,personnalité politique
Léonce Destremx,LH/761/22,,personnalité politique
Jean Detours,LH/762/56,,personnalité politique
Victor Deviolaine,LH/767/56,,personnalité politique
Jean Dodat,19800035/461/61652,,agriculteur | personnalité politique
Albert Dormoy,19800035/461/61679,,personnalité politique
Charles Dorian,LH/792/45,,personnalité politique
André Duclaud,LH/824/55,,haut fonctionnaire | personnalité politique
Charles Duchatel,LH/821/61,,personnalité politique
Armand Duez,LH/830/12,,personnalité politique
François Ducuing,LH/829/29,,personnalité politique
Jean Duffau,19800035/144/18271,,personnalité politique
Alfred Dumont,LH/845/59,,personnalité politique | avocat
Alexandre Dumas,19800035/135/17100,,personnalité politique
Charles Dupont de l'Eure,LH/857/23,,personnalité politique
Destin Dupuy,LH/862/51,,personnalité politique
François Dupuy,LH/862/74,,personnalité politique
Octave Dusevel,LH/877/38,,personnalité politique
Édouard Eymond,19800035/225/29697,,personnalité politique
Emmanuel Évain,19800035/463/61898,,personnalité politique
Louis Evesque,LH/914/61,,personnalité politique
Pierre Farjon,LH/933/45,,personnalité politique
Auguste Failliot,LH/925/37,,industriel | personnalité politique
Achille Fanien,LH/930/43,,personnalité politique
Louis Fays,LH/950/51,,personnalité politique
Pierre Hippolyte Faure,LH/942/44,,personnalité politique
Augustin Féron,LH/958/42,,personnalité politique
Prosper Ferrero,19800035/263/35144,,personnalité politique
Francis Fesq,19800035/146/18656,,personnalité politique | médecin
Émile Fleurent,19800035/541/61992,,personnalité politique
Joseph Fitte,LH/977/32,,personnalité politique
Jean Théodore Fleury,LH/984/5,,journaliste | personnalité politique
Jacques-Charles de Fleuriot de La Freulière,LH/983/7,,personnalité politique
Paul Émile Flye-Sainte-Marie,LH/988/23,,personnalité politique
Charles Félix Fouquet,LH/1010/18,,personnalité politique
Paul Fournol,LH/1019/12,,personnalité politique
Charles Fournier,LH/1015/40,,personnalité politique
Étienne Fournol,LH/1019/11,,personnalité politique
Charles François,19800035/1458/68519,,personnalité politique
Adolphe Fraissinet,LH/1022/43,,armateur | personnalité politique
Alcée Froin,LH/1040/42,,personnalité politique
Félix Gaborit,19800035/1280/47641,,personnalité politique
Louis Alban Ganivet,LH/1068/27,,personnalité politique
Louis Gallix,LH/1062/49,,personnalité politique
Étienne Henri Garnier,LH/1076/61,,personnalité politique
Raymond Gavoty,19800035/758/86031,,personnalité politique
Auguste Girard,19800035/754/85548,,marchand | personnalité politique
Adolphe Girod,LH/1151/9,,personnalité politique
Henri Giraud,LH/1148/20,,personnalité politique
Hubert Giraud,19800035/544/62280,,personnalité politique
Jean-Baptiste Rigaud,LH/2329/38,,personnalité politique
Casimir Giroud,LH/1152/35,,personnalité politique
Louis Girod,LH/1151/32,,personnalité politique
Camille Godelle,LH/1160/42,,personnalité politique
Gontrand Gonnet,LH/1167/48,,personnalité politique
Marcel Gounouilhou,LH/1178/4,,personnalité politique
Charles Gras,LH/1191/50,,personnalité politique
Nicolas Grout,LH/1211/36,,personnalité politique
Louis Guibal,LH/1226/36,,personnalité politique
Émile Dupourqué,LH/858/3,,personnalité politique
Gaston Guillemet,LH/1237/29,,personnalité politique
Georges Brame,LH/350/92,,personnalité politique
Gustave Haguenin,LH/1258/6,,personnalité politique
Ernest Herbecq,LH/1290/19,,personnalité politique
Pierre Hugon,LH/1320/56,,personnalité politique
Léopold Hulin,LH/1324/9,,personnalité politique
Guillaume Huguet,19800035/1343/55685,,personnalité politique
Jean Huguet,19800035/203/26565,,personnalité politique
Charles Jenty,LH/1365/7,,personnalité politique
Louis Joos,LH/1373/77,,personnalité politique
Jean Joyeux-Laffuie,LH/1384/101,,personnalité politique
Antoine Jourde,LH/1382/22,,personnalité politique
Alexandre Jullien,LH/1389/17,,personnalité politique
Philippe Émile Jullien,LH/1389/75,,personnalité politique
Théophile Labat,LH/1413/19,,ingénieur militaire | personnalité politique
Alphonse Labussière,LH/1420/39,,personnalité politique | avocat
François de Laborde,LH/1416/63,,personnalité politique
Arthur Labordère,LH/1417/4,,officier | personnalité politique
Édouard Lachaud,19800035/110/13801,,personnalité politique | médecin
Louis Lacombe,LH/1425/23,,personnalité politique
Étienne de Ladoucette,LH/1430/67,,personnalité politique
Roger Lafagette,19800035/777/88078,,personnalité politique | avocat
Pierre de Lafitte-Falentin de Saintenac,LH/928/37,,personnalité politique
Louis Lallemant,LH/1451/3,,personnalité politique
Paul de Lamberterie,LH/1458/17,,personnalité politique
Maurice Lasserre,LH/1491/55,,personnalité politique | avocat
Adolphe de Launay,19800035/187/24400,,personnalité politique
Adolphe Laville,LH/1507/72,,personnalité politique
Félix Le Roy,LH/1607/58,,personnalité politique
Élie Ledieu,LH/1542/15,,personnalité politique
Julien Lemoine,LH/1582/47,,personnalité politique
Ferdinand Lepez,19800035/269/36044,,personnalité politique
Charles Lenient,LH/1588/2,,personnalité politique
Jules Leveillé,LH/1625/62,,personnalité politique
Léonard Limperani,LH/1642/67,,personnalité politique
Jean Félix Loranchet,LH/1657/81,,personnalité politique
Eugène Livois,LH/1647/8,,personnalité politique
Louis Lorimy,LH/1659/55,,personnalité politique
Achille Lefort,LH/1552/49,,personnalité politique
Pierre de Lupel,LH/1676/26,,personnalité politique
Joseph Luce de Casabianca,LH/439/38,,personnalité politique
Antoine Marfan,LH/1736/82,,personnalité politique
Alfred Maire,19800035/740/84039,,personnalité politique
Isidore Maillé,LH/1693/63,,personnalité politique
Michel Mallevergne,LH/1710/19,,personnalité politique
Joseph Malric,19800035/204/26768,,personnalité politique
Gaston Marquiset,LH/1751/7,,personnalité politique
Jean Marrot,LH/1751/71,,personnalité politique
Charles Martin,LH/1757/34,,personnalité politique
Louis Marteau,19800035/1478/71577,,personnalité politique
Alphonse Mas,LH/1774/11,,personnalité politique
Honoré Martinon,19800035/178/23075,,personnalité politique
François Mayjuron Sclafer de Lagorsse,LH/1809/27,,fonctionnaire | personnalité politique
Louis François Mazerat,LH/1811/48,,personnalité politique
Joseph Mercier,LH/1833/10,,personnalité politique
Paul Mercier,LH/1833/41,,personnalité politique
Albert Meunier,LH/1852/12,,personnalité politique
Théophile Michau,LH/1860/30,,personnalité politique
Louis Mill,19800035/560/63813,,personnalité politique
Michel Missoffe,19800035/1263/45644,,personnalité politique
Alphonse Mons,19800035/253/33741,,personnalité politique
Pierre Augustin Monteil,LH/1917/29,,personnalité politique
François de Montera,LH/1918/29,,personnalité politique
Amédée Monteils,LH/1917/41,,personnalité politique
Louis Morcrette-Ledieu,19800035/205/26859,,personnalité politique
Louis Camille Morel,LH/1933/63,,personnalité politique
Arthur Moret,19800035/257/34285,,personnalité politique
Jean-Baptiste Mougeot,LH/1948/48,,personnalité politique
Camille Nicolle,LH/1989/74,,personnalité politique
Marc Niveaux,19800035/567/64571,,personnalité politique
Georges Noblemaire,LH/1994/38,,personnalité politique
Alfred Nomblot,19800035/34/4368,,personnalité politique
Louis Obissier Saint-Martin,LH/2009/40,,personnalité politique
Benoît Oriol,LH/2021/42,,entrepreneur | personnalité politique
Jean Oudoul,LH/2027/23,,personnalité politique
Raoul Pacaud,19800035/568/64633,,personnalité politique | médecin
Léon Pagès,LH/2033/63,,personnalité politique
Pierre Papinaud,LH/2046/18,,personnalité politique
René Parenteau,19800035/260/34652,,personnalité politique
Gilbert Sosthène Patissier,LH/2066/45,,personnalité politique | avocat
François Anglès,LH/39/46,,personnalité politique
Prosper Ancel-Seitz,LH/32/62,,personnalité politique
Antoine Arbel,19800035/198/25866,,industriel | personnalité politique
Gaston Arbouin,LH/45/62,,personnalité politique
Adrien Artaud,19800035/370/49713,,personnalité politique
Ange-Gaétan Astima,LH/61/69,,personnalité politique
Barthélémy Arnault,LH/54/27,,personnalité politique
Charles Joachim Aymé,LH/83/5,,personnalité politique
Noël Auricoste,LH/77/33,,personnalité politique
Émile Aymé de La Chevrelière,LH/83/22,,personnalité politique
Pierre Aujame,LH/75/76,,personnalité politique
André Balitrand,19800035/363/48725,,personnalité politique
Eugène Bacquias,LH/88/26,,personnalité politique | médecin
François Bachimont,LH/87/40,,personnalité politique
Martial Baile,LH/91/44,,personnalité politique
Hippolyte Barascud,LH/103/69,,personnalité politique
Georges Barillet,19800035/1476/71168,,personnalité politique
Fernand Bar,19800035/203/26612,,personnalité politique
Antoine Baury,LH/146/62,,personnalité politique
Edmond Bartissol,LH/128/75,,personnalité politique | ingénieur
François Marie Bartoli,LH/129/5,,personnalité politique
Georges Barthélemy,LH/127/21,,personnalité politique
Georges Batiot,LH/135/63,,personnalité politique
Jean-Baptiste Baudon,19800035/1291/49252,,personnalité politique
Jean Joseph Barthélémy,LH/127/44,,personnalité politique
Louis Baucarne-Leroux,LH/137/51,,personnalité politique
Olivier Bascou,19800035/450/60205,,personnalité politique
Théodore Barrois,LH/124/50,,maître de conférences | personnalité politique
Camille Bazille,LH/151/9,,personnalité politique
Charles Louis Benoit,LH/180/49,,personnalité politique
Joseph Bellencontre,LH/170/59,,personnalité politique
Léopold Bellocq,19800035/1409/62911,,personnalité politique
Alfred Berquet,19800035/314/42368,,personnalité politique
Jean de Bermond d'Auriac,LH/193/21,,personnalité politique
Raymond Berniolle,19800035/242/32119,,personnalité politique
Alcide Blanchard,LH/251/77,,personnalité politique
Auguste Bonte,LH/291/43,,personnalité politique
Auguste Borderie,LH/295/6,,personnalité politique
Henri Bordet,LH/295/83,,personnalité politique
Joseph-Louis Bonnet,LH/288/92,,personnalité politique
Raoul Bompard,19800035/315/42459,,personnalité politique
Benjamin Bories,LH/297/45,,personnalité politique
Charles Boreau-Lajanadie,LH/295/75,,personnalité politique
Charles Bouchet de Grandmay,LH/306/120,,personnalité politique
Camille Bouhenry,19800035/1478/71607,,personnalité politique
Narcisse Boulanger,19800035/174/22517,,personnalité politique
Maurice Bourrillon,LH/334/46,,personnalité politique
Sébastien Joseph Boulatignier,LH/316/66,,juriste | personnalité politique
Étienne Bouisson,LH/314/61,,personnalité politique
Ernest Braud,LH/352/87,,personnalité politique
Jean-Baptiste Boutard,LH/338/5,,personnalité politique | médecin
Hippolyte Braheix,LH/350/36,,personnalité politique
Paul Bozonet,19800035/243/32255,,personnalité politique
Édouard Bresson,LH/358/96,,personnalité politique
Alexis Brunel,LH/382/15,,personnalité politique
Fernand Brun,19800035/1282/48012,,personnalité politique
Henri Briffaut,19800035/231/30691,,personnalité politique
Joseph Brisson,LH/368/64,,personnalité politique
Joseph Brun,LH/380/115,,personnalité politique
Pierre Oscar Maximilien de Brigode-Kemlandt,LH/365/62,,personnalité politique
Édouard Bussat,19800035/724/82390,,personnalité politique
Georges Calmès,LH/410/73,,personnalité politique
Armand Cardon,LH/424/78,,personnalité politique | avocat
Eugène Canu,19800035/102/12820,,personnalité politique
Louis de Carbonnier de Marzac,LH/425/29,,personnalité politique
Jean de Castellane,19800035/632/73192,,personnalité politique
Paul Caujole,19800035/364/48971,,personnalité politique
Thierry Cazès,LH/459/24,,personnalité politique
René Cazauvieilh,19800035/277/37080,,personnalité politique
Auguste Chais,LH/469/7,,personnalité politique
Auguste Champanhet,LH/475/8,,personnalité politique
Félix Chalamel,LH/469/47,,personnalité politique
Jules Chamvoux,LH/478/76,,personnalité politique
Joseph Chaleil,LH/469/81,,haut fonctionnaire | personnalité politique
Louis-Antoine-François de Marchangy,LH/1730/53,,avocat général | personnalité politique | poète | avocat
Justin Laurence,LH/1498/69,,personnalité politique
Émile Broussais,19800035/176/22737,,personnalité politique
Léon Deyron,LH/769/36,,personnalité politique
Michel Parès,19800035/702/80107,,personnalité politique
Marcel Ribère,19800035/706/80594,,personnalité politique
Pierre Amilhau,LH/30/64,,personnalité politique
Alexandre Courbet-Poulard,LH/609/82,,personnalité politique
Antoine Douay,LH/795/41,,personnalité politique
René André Faure,19800035/69/8511,,personnalité politique
Joseph Jules de Foucauld,LH/1005/49,,personnalité politique
Henri François Gallois,LH/1063/18,,personnalité politique
Henri Ghesquière,LH/1128/3,,personnalité politique
François Jobard,LH/1367/43,,personnalité politique
François Mazure,LH/1814/6,,personnalité politique
Adhémar Péchadre,LH/2077/58,,personnalité politique
Pierre Pays,19800035/747/84760,,personnalité politique
Étienne Peignot,19800035/1214/40138,,personnalité politique
Gustave Pelisse,19800035/206/26962,,personnalité politique
Arthur Pernollet,LH/2102/42,,personnalité politique
Raoul Persil,19800035/1226/41459,,personnalité politique
Amédée Peyroux,19800035/1214/40199,,personnalité politique
Auguste Peureux,LH/2132/39,,personnalité politique
Jean Peyret,19800035/1316/52300,,personnalité politique
Camille Picard,19800035/1214/40230,,personnalité politique
Paul Pezet,19800035/68/8340,,personnalité politique
Ernest Picot,LH/2149/37,,personnalité politique
Odon de Pins,19800035/759/86081,,personnalité politique
Constant Pilate,LH/2160/51,,personnalité politique
Léon Pommeray,19800035/236/31390,,haut fonctionnaire | personnalité politique
Alexandre de Plœuc,LH/2181/2,,personnalité politique
Édouard Ponsard,LH/2197/81,,personnalité politique
Honoré Pontois,LH/2199/45,,personnalité politique
Georges Potié,19800035/570/64874,,personnalité politique
Paul Pourteyron,19800035/207/27175,,personnalité politique
Christophe Pradon,LH/2220/6,,personnalité politique
André Prétavoine,LH/2223/14,,personnalité politique
Jules Prevet,19800035/259/34487,,personnalité politique
Édouard Prénat,LH/2222/42,,personnalité politique
Louis de Puineuf,19800035/210/27506,,personnalité politique
Paul Pujade,LH/2241/3,,personnalité politique | médecin
Joseph Python,LH/2242/59,,résistant | personnalité politique | avocat
Constant Ragot-Blondeau,LH/2259/46,,personnalité politique
Joseph Railhac,19800035/1281/47855,,personnalité politique
Francisque Regaud,LH/2283/19,,personnalité politique
Joseph-Louis Régis,19800035/269/35961,,personnalité politique
Jean-Sylvain Raynaud,LH/2275/48,,personnalité politique
Paul Remoiville,LH/2290/26,,personnalité politique
Étienne Regnier,19800035/186/24215,,personnalité politique
Honoré Reverchon,LH/2306/10,,personnalité politique
Jacques Riberpray,LH/2313/80,,personnalité politique
Joseph Reynouard,19800035/1288/48878,,personnalité politique
Pierre Richard,19800035/562/64048,,diplomate | personnalité politique
Maxime Ridouard,19800035/749/84926,,personnalité politique
Robert Mitchell,LH/1890/14,,journaliste | rédacteur en chef | personnalité politique
Camille Rocher,19800035/124/15694,,personnalité politique
Lucien Rodat,LH/2353/44,,personnalité politique
Julien Rolland,LH/2373/4,,personnalité politique
François Camille Roques,LH/2381/57,,personnalité politique
Louis Adolphe Rollin,LH/2374/54,,personnalité politique
Gaston Roques,19800035/386/51812,,personnalité politique | avocat
Gabriel Royer,LH/2419/41,,personnalité politique
Auguste Sabatier,19800035/817/92944,,conseiller municipal de Paris | député | marchand | personnalité politique
Charles Saint,LH/2434/61,,personnalité politique
Aristide Samalens,19800035/565/64383,,personnalité politique
Rodolphe Santelli,19800035/210/27542,,personnalité politique
Marc Sauzet,LH/2470/47,,personnalité politique
Honoré Serres,LH/2507/56,,personnalité politique
Jacques Sever,LH/2511/14,,personnalité politique
Camille Simonin,19800035/567/64531,,personnalité politique
Gaston Simounet,LH/2523/33,,personnalité politique
Pierre Sire,LH/2523/50,,personnalité politique
Marcellin Souhet,LH/2530/63,,personnalité politique
Stéphen-Albert Thirion-Montauban,LH/2594/72,,diplomate | personnalité politique
François Taillefer,LH/2563/57,,personnalité politique
Eugène Tallon,LH/2565/47,,magistrat | personnalité politique | avocat
Alfred Tardif,LH/2568/35,,personnalité politique
Firmin Tarrade,19800035/261/34755,,personnalité politique
Jean Tavé,LH/2572/54,,personnalité politique
Eugène Ténot,LH/2575/57,,journaliste | personnalité politique | enseignant
Joachim Telliez-Béthune,LH/2574/86,,personnalité politique
Jules Thiessé,LH/2592/39,,personnalité politique
Joseph Tillie,19800035/822/93530,,personnalité politique
Charles Torchut,19800035/573/65162,,personnalité politique
Alfred Trannin,LH/2624/39,,personnalité politique
Pierre Trémoulière,LH/2653/38,,personnalité politique
Jean Tricoche,LH/2629/43,,personnalité politique
Georges Vandame,LH/2671/46,,personnalité politique
Louis Clovis Vernet,LH/2692/19,,magistrat | personnalité politique | avocat
Georges Vian,LH/2704/49,,personnalité politique
Michel Vernière,LH/2693/53,,personnalité politique
Théophile Viard,LH/2704/76,,personnalité politique
Martin Vigier,19800035/260/34723,,personnalité politique
Maurice-Paul Vincent,19800035/824/93814,,personnalité politique
Pierre Marie Vinay,LH/2724/14,,personnalité politique
Louis Armand Vitry,LH/2733/33,,personnalité politique
Pierre Vogin,LH/2735/71,,personnalité politique
Louis-Joseph Duhamel,LH/1261/56,,personnalité politique
Eugène Lefebvre,19800035/1469/70020,,personnalité politique
Charles Gruet,LH/1212/11,,personnalité politique
Georges Malissard,LH/1707/53,,sculpteur
Joseph-Guillaume-Norbert Delaistre,LH/698/30,,personnalité politique
André Roux,19800035/1303/50420,,personnalité politique
Antoine Dartigaux,LH/664/87,,personnalité politique
Prosper Jules Charbonnier,LH/487/77,,physicien | ingénieur militaire
Albert Roche,19800035/1323/53213,,personnalité politique
Charles Bourlier,LH/332/53,,personnalité politique
Edmond-Charles de Martimprey,LH/1756/7,,officier | personnalité politique
Jean Louis Gérard West,LH/2754/46,,financier
Louis Antoine de Clarac,LH/542/11,,personnalité politique
Louis Maurice Antoine Clerc,LH/552/6,,personnalité politique
Lucien Bourgeois,19800035/925/7856,,personnalité politique
Nicolas Lavielle,LH/1507/18,,personnalité politique
Paul Guillon,19800035/720/81964,,personnalité politique
Paul Samary,LH/2452/11,,personnalité politique
Casimir Chevalier,LH/521/22,,érudit | archéologue | prêtre catholique | historien
Georges Archidice,19800035/904/5664,,personnalité politique
Louis Honoré Arnavon,LH/54/54,,personnalité politique
Alexandre-Joseph de Boisgelin,LH/270/2,,officier | personnalité politique
Pierre Laurent Jean-Baptiste David,LH/674/11,,diplomate | personnalité politique
Charles-Louis de Gislain de Bontin,LH/1153/70,,personnalité politique
Jean-Victor-Madeleine Chebrou de La Roulière,LH/514/29,,personnalité politique
Joseph-Louis Robert de Lignerac,LH/2351/31,,officier | personnalité politique
Pierre Latour,LH/1494/45,,personnalité politique
François Lalande,LH/1448/60,,personnalité politique
Alexandre-Claude Payn,LH/2075/69,,personnalité politique | avocat
Charles Pierre Rouxin,LH/2413/75,,personnalité politique
Charles-Antoine Saladin,LH/2444/41,,personnalité politique | avocat
Marcel Saint-Germain,19800035/250/33368,,personnalité politique
Jean Sénac,19800035/1395/61253,,personnalité politique
Alcide Treille,LH/2653/27,,personnalité politique
Eugène de Forest de Quartdeville,LH/687/86,,magistrat | personnalité politique
René Morel,19800035/1249/44147,,officier
Alexandre-Maximilien du Tertre,LH/2578/64,,officier | personnalité politique
Auguste Joseph Marius Chauvin,19800035/1249/44175,,personnalité politique
Thomas Riboud,LH/2316/61,,magistrat | personnalité politique
Édouard Boittelle,LH/273/95,,personnalité politique
Léopold Guillaume Marie Fabre,19800035/1481/72091,,personnalité politique | avocat
Georges Litalien,19800035/90/11318,,personnalité politique
Charles-Pierre-Paul Paulmier,LH/2071/26,,personnalité politique
Lucien Degoutte,19800035/409/54784,,résistant | personnalité politique
Antoine-François Bazin,LH/151/13,,personnalité politique
François-Jacques Druet-Desvaux,LH/808/11,,personnalité politique
Marie Charles Clair Louis François de La Chevardière de La Grandville,LH/524/23,,personnalité politique
Paul André Louis Lemaire,LH/1575/1,,personnalité politique
Louis Joseph de Margadel,LH/1737/5,,personnalité politique
Jean-Baptiste Mosneron de Launay,LH/1945/14,,personnalité politique
Marie Auguste Pâris,LH/2053/17,,militaire
Joseph Charles de Perrien,LH/2107/56,,personnalité politique
Louis Lagasse,19800035/355/47709,,personnalité politique
Eugène Jean-Baptiste Charles Lefébure,LH/1548/15,,personnalité politique
Charles Marie Richard,LH/2319/81,,personnalité politique
Étienne Joseph de Formon,LH/1000/40,,personnalité politique
Frédéric Thomas,LH/2597/62,,personnalité politique
Louis Revelière,LH/2305/58,,personnalité politique
Nicolas Charles Bernard-Dutreil,LH/200/10,,personnalité politique
Philibert Delphin,LH/720/14,,personnalité politique
Pierre Bourdon,LH/325/72,,personnalité politique
Pierre Martin Barien,LH/115/69,,personnalité politique
Pierre Lambert,LH/1457/65,,personnalité politique
Hippolyte Parigot,19800035/308/41508,,
Edmond Rocher,19800035/1392/60829,,lithographe | affichiste | graveur | poète
Léon Gautier,LH/1095/37,,personnalité politique
Charles Pascal Joffrion,LH/1368/61,,personnalité politique
Сергей Александрович Юрьевич,19800035/1195/38213,,sculpteur | personnalité politique
Aubin Barbary de Langlade,LH/105/51,,personnalité politique
Pierre Durand du Repaire,LH/870/5,,personnalité politique
Anne Claude de Lugat,LH/1675/16,,personnalité politique
Charles Thomas Joseph Gabriel Lepaige,LH/1593/55,,personnalité politique
François Meynard,LH/1857/5,,personnalité politique
Jean André Delpit,LH/720/26,,personnalité politique
Jean-Louis Rivière,LH/2341/63,,personnalité politique
Louis Rolland,19800035/229/30349,,juriste | personnalité politique
Louis Blancard,LH/250/86,,numismate | archiviste
Philippe Rivain,19800035/1089/25169,,personnalité politique
Émile Weill-Mallez,LH/2751/13,,personnalité politique
Pierre Voyer,19800035/212/27783,,personnalité politique
Jean Pierre Barada,LH/103/15,,personnalité politique | avocat
Honoré Landoald Aubert,LH/64/67,,personnalité politique
