pays,ville,coordonnesgroup
Maroc,Bni Boufrah,Point(-4.320555555 35.0675)
Maroc,Bni Hassane,Point(-6.948055555 32.036388888)
Maroc,Bounaamane,Point(-9.8044 29.528299)
Maroc,Ihddaden,Point(-9.65 31.2) | Point(-2.96666667 35.15)
Maroc,Essaouira,Point(-9.768696 31.513023)
Maroc,Lagouira,Point(-17.091666666 20.833333333)
Maroc,Zoug,Point(-14.15 21.55)
Maroc,Inezgane,Point(-9.538055555 30.365833333)
Maroc,Bouznika,Point(-7.15968 33.78942) | Point(-7.1575 33.789722222)
Maroc,Settat,Point(-7.619801 33.002319)
Maroc,Aït Ourir,Point(-7.66277778 31.56444444)
Maroc,Oulad Saïd,Point(-8.1 31.5833)
Maroc,Ait Abbas,Point(-6.35 32.33333333)
Maroc,Arbaoua,Point(-5.91666667 34.9)
Maroc,Bouhlou,Point(-4.4 34.13333333)
Maroc,Loulad,Point(-7.133333333 32.983333333)
Maroc,Boujniba,Point(-6.78333333 32.9)
Maroc,Tamallalt,Point(-7.5262 31.8288)
Maroc,El Mansouria,Point(-7.3 33.75)
Maroc,El Mers,Point(-4.448055555 33.445)
Maroc,Azemmour,Point(-8.333333333 33.283333333)
Maroc,El Gara,Point(-7.40583 33.1119)
Maroc,Nador,Point(-2.93333 35.1667)
Maroc,Naima,Point(-2.21666667 34.60055556)
Maroc,Mazguitam,Point(-3.64277778 34.50194444)
Maroc,Bouarg,Point(-2.95194444 35.12888889)
Maroc,Boukraa,Point(-12.849722222 26.322777777) | Point(-12.80895 26.65006)
Maroc,Al Hoceïma,Point(-3.932222222 35.247222222)
Maroc,Kénitra,Point(-6.583333333 34.25)
Maroc,Méchouar de Casablanca,Point(-7.60525 33.57957)
Maroc,Médiouna,Point(-7.51 33.45)
Maroc,Ras Tabouda,Point(-4.71666667 34.0)
Maroc,Lqliâa,Point(-9.454444444 30.294166666)
Maroc,Taounate,Point(-4.64 34.53583333)
Maroc,Ida Ougnidif,Point(-9.007777777 29.861666666)
Maroc,Sidi Lahcen,Point(-2.62188 34.099869)
Maroc,Sidi Rahhal,Point(-7.48333333 31.66666667)
Maroc,Souk Lakhmis Dadès,Point(-6.028 31.309)
Maroc,Aguelmam Azegza,Point(-5.408888888 32.947777777)
Maroc,Errachidia,Point(-4.424444444 31.931944444)
Maroc,Timahdite,Point(-5.06 33.2369)
Maroc,Taïnaste,Point(-4.13472 34.5556)
Maroc,Tanourdi,Point(-5.147777777 32.825)
Maroc,Oued Amlil,Point(-4.28333333 34.2)
Maroc,Al Aroui,Point(-3.007294 35.01037)
Maroc,Arfoud,Point(-4.232777777 31.436111111)
Maroc,Snada,Point(-4.21666667 35.06666667) | Point(-4.21583 35.07452) | Point(-4.21666667 35.07638889)
