leonoreid,bnfids,uribnf
LH/1275/5,153262970,https://data.bnf.fr/ark:/12148/cb153262970
LH/2416/57,10978668c,https://data.bnf.fr/ark:/12148/cb10978668c
19800035/23/2980,12132277v,https://data.bnf.fr/ark:/12148/cb12132277v
LH/9/67,10718075d,https://data.bnf.fr/ark:/12148/cb10718075d
LH/1264/2,14975519q,https://data.bnf.fr/ark:/12148/cb14975519q
LH/1485/51,12172250n,https://data.bnf.fr/ark:/12148/cb12172250n
19800035/245/32547,162004353,https://data.bnf.fr/ark:/12148/cb162004353
LH/1347/65,13488146f,https://data.bnf.fr/ark:/12148/cb13488146f
LH/1117/38,12156327z,https://data.bnf.fr/ark:/12148/cb12156327z
LH/262/53,14653265n,https://data.bnf.fr/ark:/12148/cb14653265n
LH/1263/20,119068235,https://data.bnf.fr/ark:/12148/cb119068235
LH/2001/50,118959754,https://data.bnf.fr/ark:/12148/cb118959754
19800035/1448/67523,119147019,https://data.bnf.fr/ark:/12148/cb119147019
LH/843/35,125108581,https://data.bnf.fr/ark:/12148/cb125108581
LH/2531/11,105372435,https://data.bnf.fr/ark:/12148/cb105372435
19800035/1328/53941,162016069,https://data.bnf.fr/ark:/12148/cb162016069
19800035/85/10635,125236990,https://data.bnf.fr/ark:/12148/cb125236990
LH/1078/20,120170548,https://data.bnf.fr/ark:/12148/cb120170548
19800035/210/27517,11924238g,https://data.bnf.fr/ark:/12148/cb11924238g
LH/273/13,12158469n,https://data.bnf.fr/ark:/12148/cb12158469n
LH/2058/31,10709490f,https://data.bnf.fr/ark:/12148/cb10709490f
LH/2417/9,121067062,https://data.bnf.fr/ark:/12148/cb121067062
LH/375/12,12051880d,https://data.bnf.fr/ark:/12148/cb12051880d
LH/965/2,11902671h,https://data.bnf.fr/ark:/12148/cb11902671h
19800035/235/31103,12566522p,https://data.bnf.fr/ark:/12148/cb12566522p
LH/722/23,12196817v,https://data.bnf.fr/ark:/12148/cb12196817v
LH/1128/57,14895094b,https://data.bnf.fr/ark:/12148/cb14895094b
LH/760/1,14541542z,https://data.bnf.fr/ark:/12148/cb14541542z
LH/292/22,122750144,https://data.bnf.fr/ark:/12148/cb122750144
LH/1229/81,121570428,https://data.bnf.fr/ark:/12148/cb121570428
LH/49/74,118947969,https://data.bnf.fr/ark:/12148/cb118947969
LH/782/33,12126211p,https://data.bnf.fr/ark:/12148/cb12126211p
LH/2636/55,153173541,https://data.bnf.fr/ark:/12148/cb153173541
LH/100/69,12967532x,https://data.bnf.fr/ark:/12148/cb12967532x
LH/1206/81,130129718,https://data.bnf.fr/ark:/12148/cb130129718
19800035/243/32294,14970770t,https://data.bnf.fr/ark:/12148/cb14970770t
LH/646/9,13561861b,https://data.bnf.fr/ark:/12148/cb13561861b
LH/1392/11,120031891,https://data.bnf.fr/ark:/12148/cb120031891
LH/296/25,15309094q,https://data.bnf.fr/ark:/12148/cb15309094q
LH/329/34,12405370b,https://data.bnf.fr/ark:/12148/cb12405370b
LH/621/28,14651260f,https://data.bnf.fr/ark:/12148/cb14651260f
LH/413/21,12400071n,https://data.bnf.fr/ark:/12148/cb12400071n
19800035/736/83598,101973988,https://data.bnf.fr/ark:/12148/cb101973988
LH/2539/24,13013401z,https://data.bnf.fr/ark:/12148/cb13013401z
LH/126/61,121533037,https://data.bnf.fr/ark:/12148/cb121533037
LH/2317/36,10743240q,https://data.bnf.fr/ark:/12148/cb10743240q
LH/2513/50,10677927v,https://data.bnf.fr/ark:/12148/cb10677927v
LH/463/18,125547901,https://data.bnf.fr/ark:/12148/cb125547901
LH/527/68,11003811w,https://data.bnf.fr/ark:/12148/cb11003811w
LH/537/49,14971655w,https://data.bnf.fr/ark:/12148/cb14971655w
