leonoreid,noms
LH/94/3,Edme Louis Barthélemy Bailly de Juilly
LH/2286/24,Edme Régnier
LH/267/31,Edmond Bogros
LH/431/64,Edmond Caron
LH/387/14,Edmond Buat
LH/1044/42,Edmond Fuchs
LH/1199/26,Edmond Gressier
LH/1171/61,Edmond Got
19800035/875/2734,Edmond Jollit
LH/404/35,Édouard Cahen
19800035/873/2526,Emile Gounin
LH/381/49,Emmanuel Brune
LH/1679/74,Emmanuel de Mac Mahon
LH/34/13,Ernest André
LH/481/59,Ernest Chantre
LH/647/67,Ernest François Dainville
19800035/803/91071,Ernest Ginsburger
LH/2274/40,Ernest Raynaud
LH/2392/11,Ernest Roure
LH/2572/21,Eugène-Anne-Adolphe de Boyer de Castanet de Tauriac
LH/1273/6,Louis-Eugène Hauvette-Besnault
LH/1839/65,Eugène Antoine François Merlin
LH/84/13,Eugène Azam
19800035/176/22761,Eugène Buhan
LH/1521/5,Eugène Casimir Lebreton
19800035/998/15448,Eugène Cavaignac
19800035/1054/21395,Eugène Louis Constant
LH/659/22,Eugène Darcy
LH/832/42,Eugène Duflot de Mofras
19800035/1199/38593,Eugène Déchelette
LH/1194/70,Eugène Grébaut
LH/1270/55,Eugène Hatin
LH/1643/68,Eugène Lintilhac
LH/2076/46,Eugène Paz
LH/2372/3,Eugène Rolland
LH/2386/14,Eugène Rostand
LH/2400/61,Eugène Rousseau
19800035/297/39989,Eugène Vaillé
LH/2761/7,Eugène Woillez
LH/386/67,Eugène de Bryas
19800035/1306/50944,Eustase Thomas-Salignac
LH/224/60,Faustin Besson
LH/1701/50,Faustino Malaguti
LH/803/63,Camille Dreyfus
LH/956/25,Ferdinand Ferber
19800035/77/9588,Ferdinand Lancien
LH/664/15,Ferdinand de Dartein
LH/978/44,Eugène Flaman
19800035/307/41396,Fernand Mazade
LH/270/2,Alexandre-Joseph de Boisgelin
LH/2413/75,Charles Pierre Rouxin
19800035/409/54784,Lucien Degoutte
LH/151/13,Antoine-François Bazin
LH/720/14,Philibert Delphin
LH/325/72,Pierre Bourdon
LH/1095/37,Léon Gautier
LH/1368/61,Charles Pascal Joffrion
LH/1389/56,Jean Jullien
19800035/300/40401,Télesphore Caudron
LH/2346/9,René Mathurin Robert
LH/857/27,Pierre Louis Dupont des Loges
19800035/1277/47165,Fernand Philippart
19800035/1290/49163,Fernand Violle
19800035/865/1579,Fernand Wiedemann-Goiran
LH/2443/54,Fernand de Saintignon
19800035/729/82826,Firmin Faure
LH/242/27,Fleury Binachon
19800035/1119/28149,Fleury Marius Seive
19800035/1472/70544,Florent Fels
LH/1233/1,Florent Guillain
19800035/1240/43130,Francis Le Basser
19800035/47/5791,Vincent Scotto
LH/211/19,François-Paul Berthier
19800035/223/29453,François-Xavier Lesbre
LH/1568/55,François Antoine Lejéas
LH/2580/36,François Antoine Teste
LH/291/54,François Bontemps
LH/292/38,François Bony
LH/400/13,François Cabeau
19800035/69/8474,François Eynard
LH/2748/76,François Isidore Wathiez
LH/1118/39,François Joseph Gérard
LH/1428/42,François Joseph Pamphile de Lacroix
LH/508/30,François Joseph d'Estienne de Chaussegros de Lery
LH/1635/18,François L'Huillier de Hoff
LH/1507/12,François La Vieille
LH/2765/64,François Louis Zaepffel
LH/2033/36,François Marie Sébastien Pageot
LH/1281/39,François Nizard Charles Joseph d'Hénin
LH/1993/26,François Nivet
LH/2146/35,François Picavet
19800035/226/29901,François Pierre-Alype
LH/407/90,François René Cailloux
LH/2368/49,François Roguet
LH/2368/56,François Roguet
19800035/1290/49181,François Simiand
LH/2636/75,François Truphème
19800035/648/74720,Félix Lasserre
LH/1294/65,Frédéric-Georges Herr
19800035/150/19166,Raoul Got
19800035/166/21270,Frédéric Bataille
LH/306/58,Frédéric Boucheron
LH/2161/64,Frédéric Pillet-Will
19800035/250/33379,Frédéric Sancet
LH/236/2,Félix Biet
19800035/276/36993,Félix Chatteleyn
19800035/263/35140,Félix Galipaux
LH/1975/38,Félix Narjoux
LH/2296/34,Félix Renaud
LH/2736/85,Félix Voisin
LH/2190/22,Gabriel Adrien Marie Poissonnier Desperrières
19800035/8/915,Gabriel Brunet de Sairigné
19800035/1212/39851,Gabriel Cochet
LH/203/60,Gabriel Gaspard Achille Adolphe Bernon de Montélégier
LH/1725/27,Gabriel Marcel
19800035/1230/41818,Pierre Renouvin
LH/334/26,Gaston Bourret
19800035/123/15513,Gaston Ravel
LH/2056/47,Gaétan Camille Thomas Paroletti
LH/1037/98,André Fribourg
19800035/134/16949,Georges Chevrot
19800035/989/14531,Georges Cretté
LH/1192/64,Georges Duplessis
19800035/804/91249,Georges Escande
19800035/1195/38203,Georges Hardy
LH/1304/84,Georges Hoentschel
LH/1291/50,Georges Hérelle
19800035/26/3338,Georges Lienhart
19800035/1039/19802,Georges Mazerand
19800035/195/25529,Georges Maurice Jean Blanchard
LH/1928/21,Georges Moreau de Tours
19800035/775/87776,Georges Nouelle
19800035/284/38049,Georges Philippar
LH/2397/69,Georges Rouliot
LH/2428/47,Georges Sabbagh
19800035/787/88941,Georges Villa
19800035/1289/48975,Georges d'Espagnat
LH/178/69,Gervais
19800035/771/87423,Gilbert Garnier
LH/288/2,Guillaume Bonnet
LH/266/35,Guillaume Boëry
LH/1736/76,Guillaume Félix Alphonse Marey-Monge
LH/2397/50,Guillaume Grégoire de Roulhac
LH/1736/77,Guillaume Stanislas Marey-Monge
LH/1594/41,Guillaume de Bourjolly de Sermaise
LH/2193/6,Gustave Ernest Polonceau
19800035/167/21535,Gustave Guiches
LH/1500/7,Gustave Laurent
LH/1681/76,Gustave Macon
LH/1696/8,Gustave Maincent
19800035/1217/40560,Gustave Philippon
LH/2079/74,Gustave Pédoya
19800035/44/5510,Gustave Roussy
19800035/300/40372,Guy-Charles Cros
19800035/880/3238,Guy Menant
LH/1967/55,Géraud-Antoine-Hippolyte de Murat
LH/887/9,Franciade Fleurus Duvivier
LH/691/15,Francis de Pressensé
LH/699/32,François-Augustin Delamare
LH/790/48,François-Xavier Donzelot
19800035/55/6642,Paul Balagny
19800035/728/82800,Étienne Escat
LH/529/40,Chobrzyński Karol Jan Piotr
19800035/844/96578,Gabrjel Boissy
LH/2737/38,Henri Voitellier
LH/1946/41,Aimé-Ernest Motsch
LH/566/8,François Collas
LH/946/10,François Jacques Guy Faverot de Kerbrech
LH/812/23,François Louis Dubois
LH/833/52,François Marie Dufour
LH/694/9,François Merry Delabost
LH/675/46,François d'Avrange d'Haugéranville
LH/675/47,François d'Avrange d'Haugéranville
LH/951/24,Frédéric Febvre
LH/589/93,Félix Cordoën
LH/586/72,Félix Coquereau
LH/997/95,Gaspard François Forestier
LH/920/1,Georges Fabre
LH/997/85,Georges Forestier
LH/1718/18,Henri-Charles Maniglier
LH/246/1,Henri Biva
19800035/808/91743,Henri Fondi de Niort
19800035/883/3596,Henri Hertz
LH/1643/26,Henri Linder
19800035/559/63732,Henri Mazel
LH/1964/19,Henri Muller
LH/2050/9,Henri Parent
19800035/1234/42380,Henri Quentin
19800035/237/31470,Henri Ramet
LH/2521/38,Henri Simon
LH/1275/78,Henry Hébrard de Villeneuve
19800035/1437/66349,Hervé Laudrin
LH/1717/51,Hervé Mangon
LH/1696/10,Hippolyte Maindron
LH/2172/23,Hippolyte Pissard
LH/2420/58,Hippolyte Royet
LH/150/42,Hubert de Bazelaire de Lesseux
LH/1349/25,Hyacinthe-Joseph Jalabert
LH/140/84,Ignace Baudinot
LH/2554/43,Isaac Strauss
LH/102/65,Jacques Baquey
LH/112/39,Jacques Bardenet
19800035/1416/63730,Jacques Beltrand
19800035/1439/66523,Jacques Bounin
19800035/218/28593,Jacques Duboys-Fresney
LH/1597/51,Jacques François Lepitre
19800035/1471/70394,Jacques Guérard
19800035/915/6838,Jacques Heim
LH/1738/4,Jacques Julien Margottin
19800035/792/89554,Jacques Lacour-Gayet
LH/2506/14,Jacques Servant
LH/1705/25,Jacques de Maleville
LH/152/63,Jean-Adolphe Beaucé
LH/1178/46,Jean-Baptiste-Marie-Augustin Gourbeyre
LH/2272/48,Jean-Baptiste Ambroise Ravier
LH/2272/49,Jean-Baptiste Ambroise Ravier
LH/1005/29,Jean-Baptiste Foucart
LH/1005/30,Jean-Baptiste Foucart
LH/1316/6,Jean-Baptiste Hubert
LH/1370/61,Jean-Baptiste Prosper Jollois
LH/1487/23,Jean-Baptiste Larrivé
LH/1639/10,Jean-Baptiste Liégeard
19800035/1080/24192,Jean-Baptiste Molinié
LH/2015/4,Jean-Baptiste Olivier
LH/1084/3,Jean-Bruno Gassies
LH/253/30,Jean-François Blanchon
LH/1284/49,Jean-François Henrion-Bertier
LH/1534/9,Jean-François Joseph Lecointe
19800035/379/50929,Jean-Gabriel Domergue
LH/1331/21,Jean-Jacques-Marie Huvé
LH/1399/26,Jean-Jacques Kessel
LH/1412/68,Jean Labastie
LH/1530/56,Jean-Louis Leclerc
LH/1452/77,Jean-Marie Laloy
LH/1344/21,Jean-Pierre Jacquet
LH/2263/50,Jean-Pierre Ramel
LH/1180/73,Jean-Sébastien Goury des Tuileries
19800035/796/90136,Jean Antoine Armand Vergeaud
LH/1405/40,Jean Baptiste François René Koehler
19800035/1212/39866,Jean Bosler
19800035/1396/61418,Jean Béguin-Billecocq
19800035/62/7567,Jean Chaigneau
LH/1288/39,Jean Charles Léopold Henrys-Marcilly
19800035/678/77745,Jean Clerc
19800035/1463/69139,Jean Coraboeuf
19800035/326/43954,Jean Engel
19800035/944/9866,Jean Fayeton
19800035/70/8622,Jean Frélaut
LH/1064/57,Jean Galtier
LH/1198/31,Jean Grenier
LH/1201/45,Jean Grillon
19800035/104/13050,Jean Jacquy
19800035/1240/43122,Jean Le Cour-Grandmaison
19800035/355/47730,Jean Le Coutaller
19800035/696/79600,Jean Marchat
LH/1995/3,Jean Noblot
LH/2638/26,Jean Tupinier
19800035/847/96963,Jean du Pouget de Nadaillac
LH/451/15,Louis François Cauchy
LH/885/58,Henri-Auguste-Georges de La Rochejaquelein
LH/276/27,Henri Bompard
LH/674/74,Henri Davillier
LH/290/19,Henri Jean Bonnier
LH/6/15,Henri des Acres de L'Aigle
LH/633/59,Henry Cros
LH/665/2,Henry Dasson
19800035/157/20076,Sacha Guitry
LH/224/11,Jean-Baptiste Bessières
19800035/735/83452,Antoine Meillet
LH/1353/21,Bon-Adrien Jeannot de Moncey
LH/354/15,Auguste Bravais
LH/2044/67,Jean Moréas
LH/454/7,Aristide Cavaillé-Coll
LH/1024/49,Louis Franchet d'Espèrey
LH/654/56,Adolphe Danhauser
LH/1551/35,Adolphe Charles Le Flô
LH/1320/11,David Edward Hughes
19800035/846/96846,Jacques Copeau
LH/2064/29,Claude-Emmanuel de Pastoret
LH/1388/2,Stanislas Aignan Julien
LH/858/65,Jules Duprato
19800035/212/27793,Ferdinand Walsin Esterhazy
LH/32/2,Jean-Jacques Ampère
LH/2610/51,James Tissot
19800035/254/33915,Henri Dallier
19800035/282/37855,Georges Marçais
LH/1877/44,Aimé Millet
LH/1546/82,Jules Lefebvre
LH/277/60,Napoléon Joseph Charles Paul Bonaparte
LH/1420/91,Henri Labrouste
LH/1223/40,André-Michel Guerry
19800035/897/4966,Gustave Samazeuilh
19800035/765/86890,Alexandre Tuffèri
19800035/22/2846,Louis Lavelle
LH/1486/79,Dominique-Jean Larrey
19800035/445/59623,Marie Marvingt
LH/684/55,Pierre Decourcelle
LH/488/9,Jean-Baptiste Charcot
LH/913/31,Jacques-Amand Eudes-Deslongchamps
LH/733/60,Vivant Denon
LH/617/25,Ernest Courtot de Cissey
LH/949/34,Hervé Faye
LH/2503/50,Raymond Adolphe Séré de Rivières
LH/1718/58,Amédée Mannheim
LH/100/70,Victor Baltard
LH/337/33,Jean-Baptiste Boussingault
19800035/1180/36559,Alexandre Arnoux
LH/2518/74,Antoine Isaac Silvestre de Sacy
LH/2052/10,Paulin Paris
LH/2052/21,Gaston Paris
19800035/390/52277,André Bloch
19800035/422/56372,François Albert-Buisson
19800035/105/13167,André Gedalge
LH/1009/62,Ferdinand André Fouqué
LH/405/96,Eugène Caillaux
19800035/1237/42754,André Pirro
LH/1192/11,Eugène Grasset
LH/978/5,Jacques Flach
19800035/613/69165,Gaby Morlay
LH/650/34,Ange Hyacinthe Maxence de Damas
LH/2020/41,Michel Ordener
19800035/205/26882,Jacques de Morgan
LH/1796/41,Louis de Maud'huy
LH/2557/53,Jules Simon
LH/1132/19,Eugène Gigout
LH/649/54,Jules Dalou
LH/1378/1,Joseph Joubert
LH/629/28,Jules Crevaux
LH/85/55,Jacques Babinet
19800035/252/33521,Claude Augé
LH/2251/86,Jean René Constant Quoy
LH/102/44,Jean-Félix Bapterosses
19800035/121/15309,Henri de Régnier
19800035/337/45386,Paul Fort
LH/310/54,Édouard Bouët-Willaumez
LH/925/42,Pierre Louis Charles de Failly
LH/1145/59,Pierre-Simon Girard
LH/1053/8,Henri Gaidoz
LH/876/49,Victor Duruy
LH/397/98,Antoine Bussy
19800035/194/25368,Antoine Béclère
LH/2641/25,Antoine Taudou
LH/968/32,Jacques-Eugène Feyen
LH/2745/16,Henri Wallon
LH/1079/46,Prosper Garnot
LH/886/8,Edmond Duvernoy
19800035/1288/48887,Georges Sagnac
LH/1312/71,Henry Houssaye
LH/2767/60,Jules Zeller
LH/1509/103,Joseph Félix Lazowski
LH/952/53,Guillaume de Félice
LH/785/2,Jean Dollfus
19800035/1467/69840,Jean Nouguès
LH/836/49,René-Nicolas Dufriche Desgenettes
LH/633/37,Maurice Renaud
LH/1260/52,Louis Halphen
19800035/767/87084,Clément Roques
19800035/232/30716,Stanislas Lami
LH/994/13,Pierre-François-Léonard Fontaine
LH/1153/9,Albert Gisclard
19800035/875/2754,Octave Denis Victor Guillonnet
19800035/416/55649,Vladimir Aïtoff
LH/2301/6,Paul Renouard
LH/537/22,Henri Christiné
LH/2634/55,Armand Trousseau
LH/2268/58,François-Vincent Raspail
LH/556/53,Gustave Paul Cluseret
19800035/1114/27554,Marcel Gromaire
19800035/1221/40963,Arnaud Denjoy
LH/1062/8,Gaston de Galliffet
LH/415/32,Jean-Baptiste-Marie Campenon
LH/1312/68,Arsène Houssaye
LH/1273/44,Charles-Louis Havas
LH/1235/46,Frédéric François Guillaume de Vaudoncourt
19800035/278/37243,Louis Boutan
LH/1523/49,Charles-François Lebrun
19800035/790/89289,Louis Paulhan
LH/2728/44,Jules Violle
LH/1154/63,Auguste-Barthélemy Glaize
LH/394/6,Édouard Bureau
19800035/562/64044,Jules Richard
LH/1774/43,Frédéric Mascle
LH/2455/9,Ernest Sanson
LH/109/32,Auguste Barbier
LH/1944/8,Gabriel de Mortillet
LH/2400/2,Edmond Rousse
LH/1421/47,Alexandre Lacassagne
19800035/210/27522,Pierre de Ségur
LH/876/40,Pierre François Joseph Durutte
LH/2092/12,Auguste Penjon
LH/2269/24,Auguste Rateau
LH/2398/61,Joseph Roumanille
LH/2769/59,Émile Zola
LH/2457/62,Sarah Bernhardt
LH/1326/47,Alexander von Humboldt
C/0/15,Paul Doumer
19800035/2/134,Maryse Bastié
LH/209/76,Marcellin Berthelot
LH/488/10,Jean-Martin Charcot
LH/1335/27,Jean Auguste Dominique Ingres
LH/2654/33,Georges Trombert
LH/1968/50,Henry Murger
LH/695/18,Eugène Delacroix
LH/2300/69,Auguste Renoir
LH/1477/83,Pierre-Simon de Laplace
LH/1723/47,Jean-Baptiste Antoine Marcelin Marbot
19800035/1373/58673,Jacques Peirotes
LH/673/3,Jacques-Louis David
LH/1648/38,Jean Lobstein
19800035/169/21742,Paul Sabatier
19800035/1180/36561,Hermann Oestrich
LH/1549/67,Jean-Xavier Lefèvre
LH/103/37,Achille Baraguey d'Hilliers
LH/496/58,Joseph-Frédéric-Benoît Charrière
LH/345/25,Antoine Bovy
19800035/255/34043,Jules Gilliéron
LH/151/54,René Bazin
19800035/172/22143,Valery Larbaud
LH/776/39,Paul Georges Dieulafoy
LH/82/7,Édouard-Henri Avril
C/0/43,Nicolas Oudinot
LH/1249/24,François Guizot
LH/2262/68,Alfred Nicolas Rambaud
C/0/9,Émile Loubet
LH/2550/9,Mary Cassatt
19800035/565/64356,Raymond Sabouraud
LH/2460/35,Maurice-Paul-Emmanuel Sarrail
LH/2/26,عبد القادر الجزائري
LH/1177/67,Charles Gounod
LH/1394/42,Alphonse Karr
19800035/399/53418,Francis Poulenc
LH/1778/38,Jules Massenet
19800035/224/29499,Jean Janvier
LH/1575/63,Jules Lemaître
LH/329/8,Paul Bourget
LH/2755/18,James Whistler
LH/2698/61,Jean Pons Guillaume Viennet
C/0/66,Gaspard Monge
LH/1124/65,Jean-Léon Gérôme
LH/1645/8,Joseph Liouville
19800035/167/21510,Paul Dukas
LH/2748/54,Louis Étienne Watelet
LH/666/97,Alphonse Daudet
LH/2299/33,Louis Renault
19800035/1024/18177,Nina Ricci
19800035/136/17159,Cécile Chaminade
LH/2177/32,Gaston Planté
LH/369/31,Aogust Brizeug
19800035/340/45768,Vincent Isola
19800035/35/4407,Henri Padé
LH/526/27,Michel-Eugène Chevreul
LH/2549/39,Édouard Stephan
LH/2487/47,Édouard Schuré
19800035/444/59415,Émile Auguste Léon Hourst
LH/395/92,Émile-Louis Burnouf
LH/645/24,Émile Daeschner
LH/2603/30,Édouard Thouvenel
LH/1826/2,Henri Menier
19800035/1472/70459,Émile Gilioli
LH/1391/20,Émile Jungfleisch
19800035/549/62762,Émile Legouis
LH/1789/22,Émile Mathieu
LH/2012/12,Émile Ogier
LH/2413/22,Émile Roux
19800035/1423/64649,Georges Maspero
LH/980/20,Camille Flammarion
C/0/40,Étienne-Jacques-Joseph Macdonald
LH/2752/19,Pierre Weiss
19800035/867/1880,André Danjon
LH/8/14,Clément Ader
LH/1335/6,Vincent d'Indy
LH/2490/10,Eugène Scribe
LH/2472/49,Pierre Savorgnan de Brazza
LH/354/63,Pierre Savorgnan de Brazza
LH/983/49,Émile Félix Fleury
LH/691/69,Alfred Dehodencq
LH/1149/49,Pierre François Eugène Giraud
LH/91/56,Jules Baillarger
LH/156/60,Gustave de Beaumont
LH/1238/23,Armand-Charles Guilleminot
LH/622/23,Thomas Couture
LH/481/30,Régis de Chantelauze
LH/720/30,Albert Delpit
19800035/549/62763,Georges Legrain
19800035/1395/61202,Abraham Schrameck
LH/307/65,Jean-Baptiste Bouchotte
19800035/283/38016,Henri Pourrat
LH/2699/69,Paul Vieille
LH/2554/1,Augustin African Stourm
LH/652/29,Alexis Damour
LH/859/9,Augustin Dupré
LH/2550/10,Alfred Émile Léopold Stevens
LH/975/37,Pascal Antoine Fiorella
LH/653/1,Jules Danbé
LH/2587/64,Auxonne Thiard de Bissy
19800035/85/10631,Jacques Stosskopf
LH/1345/76,Pierre de Margerie
19800035/807/91641,Jean-Baptiste Lebas
LH/1404/84,Christophe-Guillaume Koch
LH/724/47,Marc Jean Demarçay
19800035/443/59294,Georges Friedel
LH/1708/14,François Ernest Mallard
LH/349/79,Henri Braconnot
LH/2788/40,Charles Malo de Lameth
LH/98/41,Pierre-Simon Ballanche
LH/2239/64,Louis Puissant
LH/900/62,Camille Erlanger
19800035/452/60467,Abel-Dominique Boyé
LH/2425/27,Jacques-Émile Ruhlmann
LH/1352/43,Jules Janin
LH/357/19,Anatole Brénier de Renaudière
19800035/228/30088,Yves Nat
LH/2687/3,Jean Verdier
LH/365/10,Eugène Brieux
C/0/67,Charles de Morny
LH/681/31,Joseph Decaisne
LH/2794/38,Léon Delagrange
LH/1090/67,Albert Gaudry
LH/576/48,Jules Comby
LH/493/56,Alexandre Charpentier
LH/339/55,Louis-Maurice Boutet de Monvel
LH/1913/27,Camille Montagne
LH/1913/28,Camille Montagne
LH/738/3,Hartwig Derenbourg
LH/1025/9,Charles-Louis-Félix Franchot
LH/228/4,Charles Ernest Beulé
LH/653/9,Charles Dancla
LH/2395/4,Charles Marie Benjamin Rouget
LH/2076/6,Charles Payot
LH/1466/23,Charles Paul Landon
LH/660/50,Charles Victor Daremberg
LH/251/19,Émile Blanchard
LH/641/63,Édouard de Castelnau
LH/1493/38,Alphonse-Hubert de Latier de Bayane
19800035/1342/55599,Claude Anet
LH/2273/33,Pierre Rayer
19800035/819/93247,Daniel Mornet
LH/2746/60,David David-Weill
LH/2326/42,Philippe Ricord
LH/1489/114,Ernest-Charles Lasègue
LH/2058/26,Alexandre Ferdinand Parseval-Deschênes
19800035/362/48704,Théophile Bader
19800035/306/41214,Alfred Agache
LH/1009/21,Joseph-Alfred Foulon
LH/2303/26,Jean Résal
LH/2705/46,Jean-Georges Vibert
LH/980/33,Eugène Flandin
LH/891/4,Edmond Edmont
LH/595/41,Édouard Corroyer
LH/2564/59,Paulin Talabot
LH/1505/1,Alphonse Lavallée
LH/347/40,Jean-Pierre Boyer
LH/182/22,François-Léon Benouville
19800035/803/91116,Pierre Roy
LH/500/39,François de Chasseloup-Laubat
LH/2750/11,Frédéric Albert Constantin Weber
LH/6/103,Louis Adam
LH/177/84,Vincent Benedetti
LH/542/53,Henri-Jacques-Guillaume Clarke
LH/1629/64,Maurice Lévy
LH/2686/33,Eugène Joseph Verboeckhoven
LH/1146/60,Ernest Stanislas de Girardin
LH/1632/61,Jean Lhermitte
LH/1144/77,Jules Augustin Girard
19800035/805/91327,Eugène Bloch
LH/2553/14,Eugène Stoffel
LH/2184/56,Eugène Le Poittevin
LH/736/55,Marcel Deprez
LH/1675/26,Alexandre Luigini
19800035/1183/36948,Roland Dorgelès
LH/2225/30,Charles-Victor Prévost d'Arlincourt
LH/2189/51,Ferdinand Poise
LH/1028/52,François de Neufchâteau
LH/1497/7,Paul Auguste Ernest Laugier
LH/596/55,Jean-Nicolas Corvisart
LH/1018/49,François Fournier-Sarlovèze
LH/191/7,Frédéric-Guillaume Bergmann
LH/467/7,Wilbrod Chabrol
LH/624/61,Georges-Adrien Crapelet
19800035/355/47771,Victor Legros
LH/2770/11,Hubert Jules César Zuber
LH/586/105,Hyacinthe Clément Justin Coquet
LH/2720/30,Hélion de Villeneuve-Vence
LH/945/42,Idelphonse Favé
LH/337/51,Ignace François Bousson
LH/92/56,Jacques-Charles Bailleul
LH/76/69,Jacques Aupick
LH/398/34,Jacques Butraud
LH/686/70,Jacques Defermon
LH/924/46,Jacques Faget de Baure
LH/698/74,Jacques Mathurin Marie Delalande
LH/538/8,Jean-Anne Christy de la Pallière
LH/495/67,Jean-Baptiste Adolphe Charras
LH/2782/1,Jean-Baptiste Cacault
LH/316/61,Jean-François Boulart
LH/2707/67,Jean-François Vidal de Lingendes
LH/761/66,Jean-Jacques Desvaux de Saint-Maurice
LH/817/6,Jean-Louis Dubreton
LH/817/8,Jean-Louis Dubreton
LH/379/7,Jean-Marie Brulard
LH/46/70,Jean-Pierre Archinard
LH/768/33,Jean-Sébastien Devoucoux
LH/98/7,Jean-Étienne Balguerie
LH/558/9,Jean Benoît Désiré Cochet
LH/308/43,Jean Boudet
LH/856/2,Jean Dupont
LH/677/73,Jean Marie Mathias Debelay
19800035/442/59185,Joseph Collomp
LH/2631/16,Joseph César Tripoul
LH/1202/56,Joseph Grimaud
LH/2541/23,José Júlio de Souza Pinto
LH/1054/33,Jules Gaillard
LH/1839/35,Jules Merlet
LH/224/3,Julien Bessières
19800035/807/91666,Julien Bessonneau
LH/397/96,Julien Busson-Billault
19800035/430/57522,Lazare Goujon
19800035/1199/38590,Louis Hautecœur
LH/1354/56,Louis-Alexandre Jard-Panvillier
LH/2077/16,Louis-Denis Péan de Saint-Gilles
LH/1205/21,Louis Albert Grodet
LH/30/10,Louis Amiard
LH/884/44,Louis Duval-Arnould
LH/1316/54,Louis Henri Hubert Delisle
LH/841/20,Louis Henrique-Duluc
LH/1627/26,Louis Marie Levesque de Laferrière
LH/1788/13,Louis Mathey
LH/2117/61,Louis Pertuis de Montfaucon
LH/45/22,Lucien Arbel
LH/1660/45,Léon Paul Lorois
LH/2299/15,Léon Renault
LH/903/14,Léonce d'Escayrac-Lauture
LH/1416/3,Marc-Antoine-Marie-Hyacinthe de La Boëssière de Lennuic
LH/2316/32,Marcel Ribière
LH/526/65,Marie-Louis-Félix Chevrier de Corcelles
19800035/170/21891,Maurice Binder
19800035/232/30791,Paul Lebaudy
LH/2413/36,Michel Roux-Carbonnel
LH/1712/22,Miranda Malzac
LH/1936/30,Morgan de Belloy
LH/1547/27,Narcisse Lefebvre-Hermant
LH/1555/2,Nicolas Joseph Marie Le Gall
LH/132/18,Octave de Bastard d'Estang
19800035/296/39739,عمر راسم
LH/308/63,Paul Boudet
LH/1274/32,Paul Hayez
LH/2470/50,Paul Jean Pierre Sauzet
LH/2267/29,Paul Marie Rapatel
LH/2041/37,Paul Pamard
LH/1297/62,Philippe Jacques Herwyn
LH/2135/37,Pierre-Denis de Peyronnet
LH/2054/3,Pierre-Louis Parisis
LH/1124/9,Pierre Germanès
LH/10/12,Pierre Jean Agier
LH/1367/79,Pierre Jobert-Lucas
19800035/809/91955,Pierre Masse
19800035/330/44507,Pierre Ségelle
19800035/940/9420,René Fayssat
LH/2154/53,René de Pierre de Bernis
