leonoreid,diplomes,professions
LH/248/94,,personnalité politique | personnalité du monde des affaires
LH/267/31,,écrivain régionaliste | médecin écrivain
19800035/1194/38103,,personnalité politique
LH/431/64,,explorateur
LH/387/14,,militaire
LH/490/23,,personnalité politique
19800035/160/20501,,peintre
LH/571/79,,conseiller juridique
19800035/299/40260,,résistant | personnalité politique
19800035/245/32584,,sculpteur
LH/880/48,,architecte
19800035/763/86753,,personnalité politique
LH/286/52,,journaliste | historien
LH/1274/87,,personnalité politique | avocat
LH/816/39,,personnalité politique
LH/1210/53,,personnalité politique
19800035/271/36263,,peintre
LH/34/13,,banquier | personnalité politique
LH/104/68,,militaire
LH/830/7,,artiste graphique | peintre
LH/50/15,,diplomate | personnalité politique
LH/1108/48,,peintre
LH/85/23,,archéologue classique | numismate | historien de l'art | professeur d'université | historien | bibliothécaire
LH/240/75,,personnalité politique
LH/364/48,,personnalité politique
LH/315/85,,diplomate | économiste | personnalité politique
LH/429/86,,journaliste | personnalité politique | avocat
LH/184/22,,artiste visuel | personnalité politique
LH/453/58,,personnalité politique
LH/484/14,,céramiste
LH/842/36,,personnalité politique
LH/521/39,,personnalité politique
LH/481/59,,anthropologue | archéologue | professeur d'université | géologue
LH/2711/40,,médecin militaire | personnalité politique
LH/520/16,,journaliste | historien de l'art | écrivain
19800035/1468/69911,,ingénieur des mines | directeur | ingénieur
LH/657/89,,personnalité politique
19800035/141/17897,,personnalité politique
LH/733/66,,banquier | avoué | personnalité politique
LH/885/57,,journaliste | personnalité politique
LH/692/41,,personnalité politique
LH/1155/31,,chercheur | juriste
LH/956/18,,industriel | personnalité politique
19800035/1418/63860,,personnalité politique
LH/980/19,,éditeur | personnalité du monde des affaires
LH/1980/21,,officier | militaire
LH/647/67,,architecte
LH/1115/18,,personnalité politique
19800035/803/91071,,résistant | rabbin
LH/1227/33,,personnalité politique | avocat
19800035/1473/70637,,rabbin
LH/1281/33,,haut fonctionnaire | avocat
19800035/167/21539,,personnalité politique
LH/1261/54,,journaliste | biographe | historien | personnalité politique | avocat | poète | écrivain
LH/111/30,,militaire
LH/811/65,,médailleur | sculpteur
LH/1597/9,,dramaturge | écrivain
19800035/201/26294,,personnalité politique
19800035/892/4498,,
LH/1610/16,,haut fonctionnaire | personnalité politique
LH/1605/41,,éditeur | libraire
LH/1611/5,,maître de forges | personnalité politique
LH/1712/32,,imprimeur | personnalité politique
19800035/421/56296,,personnalité politique | médecin
LH/1830/23,,ingénieur
LH/162/30,,coléoptériste | entomologiste
LH/1864/46,,peintre | conservateur
LH/1846/55,,personnalité politique
19800035/192/25097,,personnalité politique
LH/1966/38,,paléontologue | géologue
19800035/1485/72661,,sculpteur
19800035/568/64627,,personnalité politique
LH/2059/46,,haut fonctionnaire | avocat
LH/2144/36,,écrivain
LH/2125/28,,médiéviste | historien | personnalité politique
LH/2164/7,,magistrat
LH/2251/83,,peintre
LH/2274/40,,poète
LH/2392/11,,personnalité politique
19800035/709/80855,,personnalité politique | médecin
19800035/750/85053,,critique littéraire | journaliste
LH/1267/85,,peintre
19800035/665/76430,,bibliothécaire
19800035/740/84058,,rabbin
19800035/339/45659,,critique littéraire
LH/2201/30,,personnalité politique
LH/261/21,,personnalité politique
LH/268/33,,personnalité politique
LH/2420/29,,personnalité politique | avocat
LH/1418/13,,soldat | personnalité politique
19800035/0339/45626,,chanteur | acteur
LH/1732/50,,collectionneur d'œuvres d'art | peintre | conservateur
LH/2572/21,,personnalité politique
LH/4/5,,officier
LH/13/21,,sculpteur
19800035/165/21136,,peintre
LH/2026/71,,numismate | médailleur | sculpteur
LH/1273/6,,indianiste | professeur d'université | traducteur
LH/2027/1,,vitrailliste | peintre
LH/1587/39,,personnalité politique | avocat
LH/10/74,,personnalité politique | écrivain
LH/1839/65,,officier | personnalité politique
LH/54/1,,officier | personnalité politique | militaire
LH/52/55,,historien | pasteur
LH/1714/40,,officier | militaire
LH/43/81,,médecin
LH/84/13,,chirurgien | psychiatre
LH/128/20,,officier de marine
LH/254/23,,personnalité politique
19800035/665/76493,,personnalité politique
LH/265/72,,chirurgien | médecin
LH/307/74,,médecin
LH/290/21,,militaire
LH/359/48,,producteur
LH/374/43,,peintre
19800035/455/60922,,personnalité politique
19800035/450/60169,,ingénieur
19800035/176/22761,,négociant | personnalité politique
LH/1521/5,,officier | personnalité politique | militaire
19800035/456/61026,,astrologue | militaire
LH/486/80,,personnalité politique
19800035/998/15448,,historien | enseignant
LH/277/43,,médecin
LH/611/50,,journaliste | personnalité politique
19800035/1054/21395,,avironneur
LH/659/22,,capitaine de vaisseau | officier de la Marine française | militaire
LH/2386/14,,économiste | avocat | écrivain | financier
LH/2332/66,,parfumeur | personnalité du monde des affaires
LH/2424/67,,personnalité politique | avocat
LH/2400/61,,vitrailliste | artiste
LH/2396/23,,personnalité politique | avocat
LH/2414/50,,personnalité politique | médecin
LH/2497/55,,collectionneur d'œuvres d'art | industriel
19800035/794/89795,,historien
19800035/969/12413,,résistant | personnalité politique
LH/2597/43,,personnalité politique
LH/2608/39,,personnalité politique
19800035/574/65230,,rosiériste | personnalité politique
LH/2009/22,,personnalité politique
LH/2626/21,,entrepreneur | personnalité politique
LH/2623/57,,architecte
LH/2667/53,,architecte
19800035/297/39989,,historien
19800035/1229/41740,,ingénieur
LH/1201/81,,personnalité politique
LH/2761/7,,médecin
LH/2736/82,,personnalité politique
LH/2776/13,,personnalité politique | militaire
LH/2582/26,,militaire
LH/386/67,,personnalité politique
LH/1430/68,,personnalité politique
LH/2175/60,,librettiste | dramaturge
LH/2422/24,,historien du droit | personnalité politique
LH/2493/66,,personnalité politique
19800035/1306/50944,,chanteur
19800035/1305/50772,,personnalité politique
LH/942/63,,personnalité politique
LH/224/60,,peintre
LH/1279/5,,juriste
LH/1701/50,,doyen | professeur d'université | chimiste | chargé de cours
LH/68/14,,négociant | personnalité politique
LH/1676/53,,personnalité politique
LH/1475/47,,officier
LH/276/48,,militaire
LH/803/63,,journaliste | personnalité politique
LH/2786/117,,personnalité politique
19800035/213/27966,,lithographe | architecte paysagiste | caricaturiste | ferronnier | peintre | illustrateur | écrivain
LH/2198/37,,militaire
19800035/241/32054,,personnalité politique
LH/107/30,,fondeur | ingénieur
LH/731/78,,historien | écrivain
LH/837/43,,dramaturge | poète
19800035/461/61660,,médecin
LH/919/44,,romancier | poète | écrivain
LH/947/21,,personnalité politique
LH/956/25,,aviateur | ingénieur | militaire
LH/1632/46,,botaniste | ornithologue | médecin
19800035/77/9588,,personnalité politique
LH/1789/8,,personnalité politique | ingénieur
LH/1751/79,,ferronnier
LH/1927/43,,agent de change | personnalité politique
LH/2419/1,,peintre | graveur
LH/2742/70,,lithographe | graveur | aquafortiste | peintre
LH/664/15,,ingénieur des ponts et chaussées | historien de l'art | peintre | architecte
19800035/761/86372,,lithographe | peintre
LH/683/80,,ingénieur
19800035/12/1440,,journaliste
LH/833/37,,personnalité politique
LH/832/42,,diariste | explorateur | botaniste | naturaliste
LH/866/23,,personnalité politique
19800035/1199/38593,,résistant | industriel
LH/903/20,,personnalité politique
LH/945/12,,personnalité politique
LH/978/44,,ingénieur
LH/2741/75,,militaire
19800035/460/61584,,peintre
19800035/1314/52005,,personnalité du monde des affaires
19800035/148/18861,,physiologiste | médecin
LH/1175/53,,financier | personnalité politique
LH/1194/70,,égyptologue | historien
19800035/1200/38740,,historien
LH/1216/59,,sténographe
19800035/108/13615,,industriel | ingénieur
LH/1270/55,,journaliste | historien
LH/1274/36,,personnalité politique
LH/2477/43,,maître de forges | personnalité politique
19800035/109/13672,,journaliste
19800035/843/96516,,médecin militaire
LH/1413/78,,ingénieur géographe | historien | ingénieur militaire | ingénieur
19800035/0247/32888,,prélat | prêtre catholique
LH/1439/51,,haut fonctionnaire
LH/1507/16,,peintre
19800035/1277/47244,,personnalité politique
19800035/223/29431,,illustrateur | poète | écrivain
LH/1543/34,,archéologue
19800035/549/62747,,anthropologue | archéologue | médiéviste | bibliothécaire
19800035/739/83968,,chansonnier | poète
LH/1603/51,,journaliste | professeur | juriste
LH/1643/68,,professeur d'université | personnalité politique
LH/1587/3,,explorateur | militaire
LH/1646/41,,éducateur
LH/99/37,,journaliste
LH/99/38,,journaliste
LH/1829/36,,officier de la Marine française
LH/1699/34,,administrateur colonial | officier de la Marine française
LH/1878/9,,architecte
LH/1887/23,,personnalité politique
19800035/289/38757,,résistant | militaire
LH/1984/14,,écrivain voyageur | diplomate
LH/1967/25,,historien de l'art | professeur d'université | écrivain
19800035/96/12081,,personnalité politique
19800035/262/34937,,personnalité politique | avocat
LH/2076/46,,journaliste | enseignant
LH/2108/67,,personnalité politique
LH/2143/35,,personnalité politique
LH/2153/41,,juriste
19800035/571/64935,,personnalité politique
LH/2774/54,,personnalité politique
LH/2172/3,,directeur | cinéaste | photographe
LH/2277/55,,diplomate
LH/2279/3,,personnalité politique
19800035/754/85475,,pharmacien | personnalité politique
LH/687/29,,résistant | militaire
LH/2372/3,,ingénieur
19800035/1393/60869,,agronome | personnalité politique
19800035/44/5485,,personnalité politique
LH/1508/12,,officier | militaire
19800035/179/23205,,magistrat | personnalité politique
LH/1468/86,,industriel | soldat | personnalité politique
19800035/254/33913,,militaire
LH/2331/5,,personnalité politique
LH/289/61,,as de l'aviation
19800035/133/16833,,personnalité politique
LH/551/14,,joueur de tennis | ingénieur
LH/635/11,,collectionneur d'œuvres d'art | financier | armateur
LH/939/46,,économiste | personnalité politique
LH/997/78,,inventeur | ingénieur
LH/1339/79,,ingénieur
19800035/232/30765,,diplomate | écrivain
LH/495/27,,militaire
19800035/400/53617,,chef de chœur | prêtre catholique
19800035/248/32983,,personnalité politique
19800035/1424/64843,,personnalité politique
19800035/307/41396,,poète
19800035/93/11694,,personnalité politique
19800035/1277/47165,,entrepreneur | personnalité politique
19800035/1232/42176,,personnalité politique
19800035/1393/61024,,peintre | enseignant
19800035/1290/49163,,personnalité politique | avocat
19800035/865/1579,,personnalité politique
LH/2263/60,,personnalité politique | avocat
LH/2443/54,,maître de forges | scientifique
LH/823/65,,officier | militaire
LH/1055/64,,personnalité politique
LH/2521/11,,personnalité politique
LH/314/51,,lithographe | designer | affichiste | peintre | illustrateur
19800035/729/82826,,personnalité politique
LH/1432/31,,juriste
19800035/1484/72452,,sculpteur
LH/2567/4,,mathématicien
LH/242/27,,personnalité politique
19800035/1119/28149,,résistant | militaire | photographe
19800035/1472/70544,,critique d'art | historien de l'art | journaliste
LH/1233/1,,industriel | personnalité politique | ingénieur
LH/2432/52,,personnalité politique
LH/36/81,,personnalité politique
LH/826/51,,poète
19800035/1247/43920,,résistant | personnalité politique
LH/704/72,,traducteur | poète
LH/807/11,,personnalité politique | militaire
LH/1445/29,,officier | personnalité politique | militaire
LH/2331/55,,peintre
19800035/256/34062,,céramiste | médailleur | sculpteur
LH/887/9,,personnalité politique | militaire
19800035/1344/55733,,peintre
19800035/636/73518,,personnalité politique
19800035/1240/43130,,chirurgien | personnalité politique
LH/1602/34,,architecte
19800035/558/63623,,personnalité politique
LH/2571/48,,peintre
LH/691/15,,journaliste | diplomate | personnalité politique
19800035/127/16018,,romancier | critique littéraire | journaliste | traducteur | écrivain
LH/313/59,,philosophe | traducteur | personnalité politique
LH/715/57,,artiste lyrique | chanteur
19800035/405/54256,,résistant | diplomate | personnalité politique
19800035/447/59849,,artiste graphique | affichiste | illustrateur
19800035/849/97242,,indianiste | orientaliste | traducteur | écrivain | scénariste
19800035/47/5791,,auteur-compositeur | musicien | compositeur | acteur
LH/710/34,,collectionneur d'œuvres d'art | historien de l'art | banquier | personnalité politique
LH/333/53,,diplomate | personnalité politique
LH/1569/61,,personnalité politique
LH/757/22,,officier | militaire
LH/2398/34,,prélat | prêtre catholique
LH/461/25,,architecte
LH/7/36,,officier | personnalité politique
LH/140/48,,explorateur | militaire | marin
LH/1691/47,,personnalité politique
LH/1922/55,,militaire
LH/1922/56,,militaire
LH/1120/56,,prêtre catholique
LH/699/32,,prélat | prêtre catholique
19800035/1412/63186,,paléontologue
LH/2583/39,,personnalité politique
LH/2009/32,,lépidoptériste | imprimeur | personnalité du monde des affaires
LH/2052/43,,militaire
LH/565/75,,banquier | personnalité politique
LH/741/15,,personnalité politique
LH/1476/4,,militaire
LH/662/56,,militaire
LH/1792/13,,diplomate | juriste | personnalité politique
LH/1650/28,,chef militaire
LH/967/45,,Ecclésiastique | prêtre catholique | personnalité politique
LH/179/51,,personnalité politique
LH/1066/20,,personnalité politique
LH/1255/22,,personnalité politique
LH/2788/119,,officier
LH/1547/66,,personnalité politique | avocat
LH/1277/64,,peintre
19800035/1405/62310,,industriel | collectionneur d'œuvres d'art
LH/1461/15,,administrateur colonial
19800035/1319/52761,,relieur | peintre | illustrateur | graveur | imprimeur
LH/10/9,,personnalité politique
LH/2098/39,,préfet | militaire
LH/2705/41,,prêtre catholique | prélat
LH/2212/73,,journaliste | personnalité politique
19800035/1187/37388,,sculpteur | peintre
LH/704/101,,personnalité politique
LH/211/19,,militaire
LH/758/44,,agronome | personnalité politique
LH/2035/24,,personnalité politique
LH/1604/69,,physicien | pharmacien | médecin
LH/1481/49,,artiste visuel | sculpteur
19800035/317/42697,,médailleur | sculpteur | ébéniste | graveur | photographe
LH/124/7,,personnalité politique | avocat
LH/1562/64,,verrier | vitrailliste
LH/2106/15,,historien | écrivain
LH/2409/22,,personnalité politique
LH/384/90,,officier
19800035/223/29453,,anthropologue | anatomiste | vétérinaire
LH/790/48,,administrateur colonial | militaire
LH/2485/53,,prêtre catholique
LH/2719/19,,personnalité politique
LH/1865/16,,historien de l'art | peintre
LH/1656/18,,physiologiste | anatomiste
