leonoreid,diplomes,professions
19800035/1246/43838,,professeur de musique | musicien de jazz | musicologue | autobiographe | critique musical | pianiste | chef d'orchestre | enseignant | compositeur
LH/1269/8,,graveur | peintre
LH/1454/70,,autobiographe | prosateur | ministre des Affaires étrangères | historien | diplomate | personnalité politique | poète | écrivain
LH/2220/73,,autobiographe | prosateur | ministre des Affaires étrangères | historien | diplomate | personnalité politique | poète | écrivain
LH/1506/1,,parasitologue | microbiologiste | professeur | médecin
LH/1786/54,,professeur d'université | peintre
LH/6/20,,professeur de musique | critique | critique musical | pianiste | compositeur
LH/2573/72,,paléoanthropologue | philosophe | paléontologue | géologue | prêtre catholique | écrivain | théologie
LH/2190/11,,professeur d'université | statisticien | mathématicien | physicien | personnalité politique | astronome
19800035/399/53418,,librettiste | chorégraphe | musicien | pianiste | compositeur
LH/1272/25,,haut fonctionnaire | urbaniste | personnalité politique | architecte
C/0/11,,journaliste | personnalité politique | avocat
LH/1115/16,,ornithologue | biologiste | zoologiste | personnalité politique | naturaliste
LH/988/37,,officier | militaire
LH/1778/38,,professeur de musique | musicologue | librettiste | professeur d'université | organiste | pianiste | compositeur
LH/44/13,,philanthrope | écrivain
19800035/898/5032,,diariste | poète | écrivain
19800035/224/29499,,personnalité politique | personnalité du monde des affaires
LH/1575/63,,critique littéraire | écrivain
LH/329/8,,romancier | essayiste | critique littéraire | journaliste | dramaturge | poète | écrivain
19800035/1342/55610,,personnalité politique
LH/2663/59,,philosophe | essayiste | critique littéraire | journaliste | professeur | poète | écrivain
LH/116/6,,horticulteur | architecte paysagiste | jardinier
LH/682/2,,diplomate | personnalité politique | avocat | juge
C/0/37,,prêtre catholique | historien | diplomate | personnalité politique | écrivain
19800035/902/5503,,musicologue | romancier | critique d'art | journaliste | poète | écrivain | photographe
LH/2755/18,,lithographe | aquafortiste | graveur | artiste graphique | peintre | illustrateur | écrivain
LH/1928/29,,sculpteur | peintre
19800035/223/29449,,peintre
19800035/702/80144,,résistant | diplomate | militaire
LH/1034/11,,mathématicien | astronome
LH/2698/61,,librettiste | dramaturge | personnalité politique | poète | écrivain
19800035/463/61865,,historien de la musique | professeur de musique | musicologue | professeur d'université | compositeur
LH/297/3,,officier | militaire
19800035/463/61886,,ingénieur | écrivain
C/0/66,,professeur d'université | chimiste | physicien | mathématicien | ingénieur | personnalité politique
LH/2395/8,,auteur-compositeur | dramaturge | ingénieur | poète | militaire | compositeur | écrivain
LH/1081/36,,joueur de rugby à XV | aviateur | militaire
LH/1037/84,,peintre
LH/713/3,,organiste | musicien | professeur d'université | compositeur
LH/1368/55,,ingénieur militaire | militaire
LH/194/69,,physiologiste | médecin écrivain | psychologue | professeur | personnalité politique
LH/1616/85,,diplomate | entrepreneur
LH/2779/6,,militaire
LH/1331/52,,romancier | critique littéraire | critique d'art | auteur | écrivain
LH/1199/59,,compositeur | écrivain
LH/1124/65,,sculpteur | peintre | enseignant
LH/950/16,,géologue | économiste | entrepreneur | ingénieur | écrivain
LH/648/10,,diplomate | personnalité politique
LH/1645/8,,mathématicien | professeur | personnalité politique | ingénieur
19800035/42/5213,,immunologiste | physiologiste | espérantiste | psychologue | médecin | écrivain
LH/2788/39,,officier | personnalité politique | écrivain
LH/2752/53,,professeur de musique | compositeur de musique classique | arrangeur musical | professeur d'université | critique musical | organiste | enseignant
19800035/167/21510,,professeur de musique | chorégraphe | professeur d'université | pédagogue | musicien | pianiste | compositeur
C/0/6,,ingénieur civil | personnalité politique | ingénieur
LH/977/56,,physicien | ingénieur | astronome
LH/2242/14,,peintre | photographe
LH/1006/86,,essayiste | diplomate | personnalité politique | avocat | enseignant
LH/1206/51,,peintre | artiste
LH/374/16,,pathologiste | professeur d'université | médecin
LH/374/17,,pathologiste | professeur d'université | médecin
LH/328/28,,diplomate | personnalité politique | juge
19800035/156/19866,,militaire
