leonoreid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc
LH/609/8,1757-03-15T00:00:00Z,Lannion,Point(-3.455277777 48.7325),1832-02-25T00:00:00Z,Tonquédec,Point(-3.395277777 48.669166666)
LH/1151/26,1764-04-21T00:00:00Z,Thoiry,Point(5.979722222 46.236388888),1848-01-16T00:00:00Z,Thoiry,Point(5.979722222 46.236388888)
LH/601/72,1863-07-12T00:00:00Z,Le Puy-en-Velay,Point(3.885 45.043333333),1925-09-20T00:00:00Z,14e arrondissement de Paris,Point(2.326888888 48.833022222)
LH/972/10,1753-10-22T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1830-01-27T00:00:00Z,Saint-Selve,Point(-0.480277777 44.670555555)
LH/2464/40,1765-11-21T00:00:00Z,Aubigny-en-Artois,Point(2.590555555 50.350833333),1833-10-25T00:00:00Z,Saint-Chéron,Point(2.124722222 48.553611111)
19800035/1214/40199,1872-08-29T00:00:00Z,Peyrehorade,Point(-1.1 43.545),1944-12-22T00:00:00Z,Peyrehorade,Point(-1.1 43.545)
LH/1522/13,1817-06-20T00:00:00Z,Bayeux,Point(-0.703888888 49.278611111),1892-01-14T00:00:00Z,Bayeux,Point(-0.703888888 49.278611111)
LH/1193/1,1805-03-30T00:00:00Z,Lille,Point(3.0575 50.631944444),1872-02-07T00:00:00Z,Montreux,Point(6.916666666 46.433333333)
LH/1621/61,1873-05-04T00:00:00Z,Chalon-sur-Saône,Point(4.853888888 46.781111111),1938-03-21T00:00:00Z,Issy-les-Moulineaux,Point(2.269166666 48.823055555)
LH/410/41,1815-08-08T00:00:00Z,Marseille,Point(5.376388888 43.296666666),1871-02-25T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777)
LH/2353/44,1842-07-31T00:00:00Z,Rodez,Point(2.574166666 44.35),1894-11-10T00:00:00Z,La Salvetat-Peyralès,Point(2.203055555 44.22)
LH/1123/49,1762-04-28T00:00:00Z,Censeau,Point(6.068055555 46.813611111),1825-07-22T00:00:00Z,Censeau,Point(6.068055555 46.813611111)
LH/1498/3,1762-11-05T00:00:00Z,Olonzac,Point(2.730833333 43.283888888),1825-11-29T00:00:00Z,Olonzac,Point(2.730833333 43.283888888)
LH/1842/47,1748-09-03T00:00:00Z,Ensigné,Point(-0.244166666 46.087777777),1829-11-07T00:00:00Z,Néré,Point(-0.235555555 45.974166666)
LH/587/106,1759-09-04T00:00:00Z,Graulhet,Point(1.988611111 43.760833333),1845-07-21T00:00:00Z,Toulouse,Point(1.443888888 43.604444444)
LH/450/41,1748-03-05T00:00:00Z,Saint-Girons,Point(1.145833333 42.984722222),1823-03-04T00:00:00Z,Toulouse,Point(1.443888888 43.604444444)
