nom,leonoreid,bnfid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc,metier,diplome
Marc-Antoine Berdolet,LH/185/49,12524487p,1740-09-13T00:00:00Z,Rougemont-le-Château,Point(6.967222222 47.735555555),1809-08-13T00:00:00Z,Aix-la-Chapelle,Point(6.083788 50.776207),prêtre catholique,
Ferdinand Dutert,LH/879/60,10433095q,1845-10-21T00:00:00Z,Douai,Point(3.079166666 50.370833333),1906-02-12T00:00:00Z,Paris,Point(2.351388888 48.856944444),architecte,
Antoine Dareste de La Chavanne,LH/660/59,11898631d,1820-10-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1882-08-06T00:00:00Z,Lucenay-lès-Aix,Point(3.483888888 46.703611111),historien,
Aristide Maillol,19800035/307/41337,11913991d,1861-12-08T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),1944-09-27T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),lithographe,
Aristide Maillol,19800035/307/41337,11913991d,1861-12-08T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),1944-09-27T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),graveur,
Aristide Maillol,19800035/307/41337,11913991d,1861-12-08T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),1944-09-27T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),aquafortiste,
Aristide Maillol,19800035/307/41337,11913991d,1861-12-08T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),1944-09-27T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),sculpteur,
Aristide Maillol,19800035/307/41337,11913991d,1861-12-08T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),1944-09-27T00:00:00Z,Banyuls-sur-Mer,Point(3.1275 42.482222222),peintre,
Odilon Redon,LH/2282/58,11921356z,1840-04-20T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),pastelliste,
Odilon Redon,LH/2282/58,11921356z,1840-04-22T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),pastelliste,
Odilon Redon,LH/2282/58,11921356z,1840-04-20T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),lithographe,
Odilon Redon,LH/2282/58,11921356z,1840-04-22T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),lithographe,
Odilon Redon,LH/2282/58,11921356z,1840-04-20T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),graveur,
Odilon Redon,LH/2282/58,11921356z,1840-04-22T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),graveur,
Odilon Redon,LH/2282/58,11921356z,1840-04-20T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),aquafortiste,
Odilon Redon,LH/2282/58,11921356z,1840-04-22T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),aquafortiste,
Odilon Redon,LH/2282/58,11921356z,1840-04-20T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),artiste graphique,
Odilon Redon,LH/2282/58,11921356z,1840-04-22T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1916-07-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),artiste graphique,
